acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,portion,sample_no,mean_late_val_acc,epoch
0.141,2.279,0.192,2.164,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,1
0.222,2.126,0.295,2.03,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,2
0.283,1.985,0.309,1.889,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,3
0.317,1.88,0.336,1.784,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,4
0.342,1.81,0.398,1.666,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,5
0.373,1.72,0.404,1.623,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,6
0.416,1.626,0.366,1.715,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,7
0.429,1.584,0.427,1.532,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,8
0.431,1.554,0.43,1.504,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,9
0.476,1.465,0.424,1.608,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,10
0.476,1.449,0.428,1.637,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,11
0.509,1.375,0.469,1.46,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,12
0.516,1.351,0.469,1.449,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,13
0.532,1.313,0.4,1.702,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,14
0.548,1.28,0.479,1.412,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,15
0.565,1.211,0.454,1.624,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,16
0.576,1.176,0.471,1.445,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,17
0.583,1.161,0.498,1.462,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,18
0.613,1.113,0.481,1.483,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,19
0.605,1.105,0.491,1.461,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,20
0.623,1.053,0.458,1.516,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,21
0.633,1.037,0.499,1.484,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,22
0.65,0.995,0.537,1.411,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,23
0.657,0.968,0.497,1.484,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,24
0.655,0.972,0.499,1.453,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,25
0.667,0.933,0.484,1.477,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,26
0.678,0.892,0.516,1.449,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,27
0.678,0.893,0.478,1.451,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,28
0.693,0.844,0.524,1.487,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,29
0.692,0.846,0.507,1.446,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,30
0.718,0.792,0.506,1.497,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,31
0.72,0.798,0.492,1.573,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,32
0.724,0.78,0.533,1.545,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,33
0.725,0.766,0.514,1.502,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,34
0.738,0.738,0.502,1.62,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,35
0.753,0.698,0.528,1.621,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,36
0.749,0.713,0.519,1.518,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,37
0.762,0.679,0.512,1.557,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,38
0.765,0.673,0.529,1.49,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,39
0.776,0.636,0.531,1.563,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,40
0.785,0.619,0.5,1.757,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,41
0.787,0.6,0.526,1.685,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,42
0.783,0.599,0.499,1.585,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,43
0.774,0.625,0.495,1.662,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,44
0.8,0.552,0.514,1.59,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,45
0.796,0.56,0.534,1.55,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,46
0.806,0.547,0.531,1.56,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,47
0.814,0.546,0.528,1.585,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,48
0.819,0.512,0.516,1.598,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,49
0.82,0.529,0.526,1.584,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,50
0.82,0.524,0.519,1.7,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,51
0.812,0.528,0.536,1.618,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,52
0.828,0.493,0.528,1.67,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,53
0.825,0.484,0.527,1.69,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,54
0.843,0.456,0.525,1.72,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,55
0.846,0.439,0.527,1.753,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,56
0.848,0.455,0.514,1.907,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,57
0.843,0.463,0.528,1.789,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,58
0.849,0.438,0.524,1.696,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,59
0.843,0.435,0.522,1.755,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.456,60
0.142,2.273,0.192,2.175,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.458,1
