acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,portion,sample_no,mean_late_val_acc,epoch
0.529,1.347,0.553,1.276,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,25
0.525,1.343,0.508,1.409,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,26
0.536,1.323,0.488,1.466,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,27
0.538,1.313,0.507,1.418,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,28
0.546,1.301,0.524,1.327,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,29
0.551,1.293,0.564,1.259,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,30
0.543,1.281,0.501,1.394,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,31
0.553,1.281,0.575,1.226,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,32
0.558,1.253,0.547,1.31,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,33
0.561,1.265,0.56,1.289,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,34
0.556,1.261,0.553,1.313,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,35
0.56,1.258,0.568,1.279,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,36
0.573,1.235,0.536,1.379,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,37
0.572,1.236,0.553,1.355,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,38
0.575,1.239,0.561,1.29,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,39
0.57,1.246,0.562,1.241,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,40
0.578,1.224,0.54,1.352,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,41
0.576,1.216,0.589,1.252,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,42
0.57,1.221,0.59,1.207,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,43
0.581,1.216,0.532,1.448,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,44
0.59,1.195,0.532,1.403,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,45
0.594,1.191,0.547,1.437,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,46
0.587,1.194,0.568,1.209,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,47
0.595,1.173,0.563,1.365,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,48
0.598,1.174,0.591,1.363,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,49
0.594,1.17,0.592,1.221,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,50
0.604,1.149,0.602,1.205,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,51
0.615,1.145,0.576,1.254,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,52
0.607,1.143,0.518,1.575,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,53
0.602,1.159,0.603,1.188,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,54
0.6,1.162,0.557,1.423,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,55
0.609,1.136,0.594,1.294,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,56
0.615,1.121,0.602,1.186,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,57
0.613,1.133,0.6,1.196,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,58
0.621,1.122,0.553,1.338,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,59
0.608,1.13,0.598,1.248,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,60
0.617,1.124,0.593,1.184,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,61
0.603,1.139,0.593,1.221,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,62
0.623,1.116,0.578,1.237,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,63
0.612,1.119,0.535,1.464,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,64
0.612,1.128,0.597,1.168,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,65
0.622,1.114,0.565,1.335,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,66
0.624,1.101,0.602,1.267,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,67
0.625,1.105,0.622,1.174,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,68
0.627,1.086,0.62,1.204,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,69
0.622,1.106,0.62,1.139,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,70
0.622,1.109,0.588,1.271,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,71
0.629,1.097,0.611,1.301,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,72
0.633,1.107,0.629,1.185,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,73
0.628,1.123,0.61,1.222,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,74
0.626,1.107,0.594,1.256,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,75
0.635,1.102,0.64,1.19,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,76
0.633,1.087,0.61,1.192,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,77
0.628,1.101,0.576,1.248,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,78
0.632,1.072,0.617,1.196,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,79
0.644,1.074,0.607,1.225,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,80
0.145,2.441,0.188,2.188,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,1
0.229,2.089,0.203,2.13,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,2
0.303,1.923,0.259,2.066,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,3
0.341,1.841,0.302,1.869,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,4
0.352,1.789,0.381,1.717,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,5
0.363,1.742,0.34,1.734,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,6
0.384,1.698,0.374,1.662,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,7
0.398,1.665,0.401,1.655,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,8
0.413,1.631,0.402,1.702,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,9
0.427,1.586,0.425,1.538,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,10
0.439,1.567,0.432,1.638,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,11
0.447,1.54,0.434,1.529,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,12
0.444,1.529,0.465,1.5,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,13
0.467,1.503,0.439,1.655,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,14
0.475,1.484,0.447,1.543,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,15
0.481,1.462,0.441,1.657,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,16
0.486,1.438,0.458,1.593,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,17
0.494,1.416,0.491,1.411,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,18
0.501,1.405,0.488,1.414,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,19
0.501,1.405,0.49,1.439,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,20
0.51,1.372,0.481,1.433,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,21
0.521,1.364,0.392,1.842,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,22
0.524,1.346,0.459,1.476,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,23
0.528,1.34,0.442,1.58,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,24
0.529,1.334,0.516,1.363,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,25
0.533,1.328,0.459,1.63,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,26
0.544,1.3,0.445,1.544,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,27
0.543,1.296,0.533,1.379,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,28
0.549,1.278,0.499,1.424,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,29
0.556,1.281,0.534,1.325,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,30
0.552,1.289,0.424,1.663,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,31
0.56,1.248,0.524,1.359,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,32
0.564,1.248,0.53,1.431,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,33
0.57,1.236,0.502,1.479,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,34
0.568,1.236,0.507,1.547,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,35
0.581,1.209,0.529,1.335,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,36
0.586,1.194,0.513,1.377,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,37
0.571,1.226,0.528,1.346,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,38
0.577,1.212,0.549,1.278,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,39
0.589,1.201,0.531,1.37,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,40
0.579,1.197,0.513,1.442,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,41
0.593,1.189,0.521,1.38,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,42
0.589,1.181,0.497,1.498,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,43
0.585,1.186,0.549,1.299,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,44
0.598,1.157,0.566,1.291,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,45
0.6,1.141,0.547,1.373,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,46
0.605,1.143,0.486,1.577,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,47
0.604,1.14,0.562,1.275,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,48
0.608,1.12,0.562,1.259,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,49
0.616,1.132,0.541,1.288,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,50
0.604,1.128,0.555,1.26,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,51
0.6,1.14,0.484,1.528,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,52
0.611,1.112,0.528,1.496,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,53
0.613,1.125,0.54,1.345,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,54
0.626,1.12,0.569,1.29,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,55
0.617,1.118,0.555,1.308,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,56
0.618,1.093,0.581,1.378,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,57
0.619,1.108,0.547,1.321,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,58
0.623,1.114,0.56,1.38,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,59
0.627,1.095,0.578,1.327,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,60
0.62,1.101,0.568,1.335,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,61
0.628,1.093,0.528,1.368,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,62
0.626,1.094,0.561,1.331,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,63
0.62,1.093,0.553,1.42,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,64
0.636,1.057,0.577,1.22,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,65
0.622,1.102,0.551,1.459,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,66
0.636,1.084,0.518,1.471,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,67
0.641,1.083,0.533,1.82,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,68
0.623,1.093,0.575,1.277,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,69
0.638,1.048,0.522,1.571,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,70
0.627,1.088,0.549,1.433,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,71
0.641,1.058,0.563,1.344,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,72
0.636,1.053,0.574,1.304,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,73
0.635,1.072,0.56,1.387,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,74
0.64,1.071,0.6,1.317,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,75
0.646,1.047,0.554,1.447,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,76
0.639,1.062,0.577,1.367,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,77
0.652,1.024,0.581,1.329,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,78
0.631,1.063,0.588,1.269,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,79
0.639,1.054,0.596,1.287,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.595,80
0.152,2.42,0.167,2.192,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,1
0.231,2.081,0.248,1.997,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,2
0.294,1.949,0.361,1.826,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,3
0.337,1.841,0.292,1.96,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,4
0.357,1.767,0.293,1.97,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,5
0.371,1.722,0.381,1.78,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,6
0.398,1.679,0.407,1.612,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,7
0.409,1.649,0.349,1.768,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,8
0.426,1.612,0.358,1.814,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,9
0.437,1.581,0.442,1.556,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,10
0.434,1.566,0.454,1.512,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,11
0.454,1.528,0.423,1.715,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,12
0.461,1.518,0.434,1.581,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,13
0.476,1.477,0.474,1.458,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,14
0.471,1.474,0.452,1.547,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,15
0.486,1.451,0.431,1.541,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,16
0.495,1.437,0.481,1.435,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,17
0.5,1.417,0.453,1.546,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,18
0.501,1.4,0.5,1.409,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,19
0.512,1.378,0.474,1.419,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,20
0.521,1.363,0.485,1.413,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,21
0.538,1.34,0.517,1.347,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,22
0.529,1.327,0.501,1.379,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,23
0.532,1.313,0.314,2.798,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,24
0.536,1.33,0.513,1.324,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,25
0.546,1.288,0.494,1.416,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,26
0.543,1.286,0.5,1.622,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,27
0.554,1.271,0.487,1.38,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,28
0.554,1.254,0.512,1.394,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,29
0.56,1.238,0.536,1.314,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,30
0.566,1.238,0.513,1.385,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,31
0.567,1.232,0.543,1.364,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,32
0.571,1.213,0.522,1.427,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,33
0.577,1.206,0.519,1.344,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,34
0.58,1.2,0.514,1.371,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,35
0.574,1.217,0.521,1.373,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,36
0.576,1.208,0.512,1.374,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,37
0.586,1.184,0.511,1.477,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,38
0.595,1.158,0.538,1.389,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,39
0.587,1.187,0.564,1.31,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,40
0.588,1.178,0.452,1.807,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,41
0.599,1.156,0.494,1.519,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,42
0.595,1.166,0.54,1.417,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,43
0.607,1.132,0.527,1.433,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,44
0.6,1.142,0.531,1.41,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,45
0.595,1.148,0.492,1.559,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,46
0.615,1.123,0.542,1.418,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,47
0.607,1.152,0.545,1.342,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,48
0.614,1.12,0.536,1.347,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,49
0.615,1.128,0.543,1.34,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,50
0.605,1.138,0.533,1.522,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,51
0.624,1.087,0.544,1.38,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,52
0.616,1.112,0.546,1.293,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,53
0.617,1.1,0.52,1.405,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,54
0.619,1.12,0.552,1.436,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,55
0.621,1.106,0.517,1.631,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,56
0.625,1.091,0.544,1.421,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,57
0.623,1.087,0.545,1.32,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,58
0.626,1.085,0.53,1.404,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,59
0.623,1.103,0.517,1.495,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,60
0.62,1.094,0.528,1.465,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,61
0.629,1.087,0.522,1.729,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,62
0.63,1.083,0.524,1.453,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,63
0.637,1.067,0.563,1.401,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,64
0.644,1.048,0.564,1.411,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,65
0.638,1.066,0.536,1.412,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,66
0.634,1.076,0.523,1.367,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,67
0.63,1.086,0.553,1.326,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,68
0.631,1.093,0.541,1.43,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,69
0.632,1.063,0.537,1.505,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,70
0.646,1.06,0.525,1.409,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,71
0.644,1.032,0.513,1.47,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,72
0.627,1.096,0.544,1.32,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,73
0.635,1.065,0.551,1.515,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,74
0.65,1.048,0.57,1.346,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,75
0.651,1.057,0.549,1.402,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,76
0.644,1.066,0.54,1.319,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,77
0.645,1.056,0.534,1.538,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,78
0.64,1.072,0.537,1.379,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,79
0.641,1.064,0.572,1.335,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.548,80
0.184,2.177,0.334,1.988,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,1
0.286,1.964,0.337,1.796,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,2
0.331,1.855,0.404,1.703,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,3
0.375,1.746,0.45,1.566,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,4
0.399,1.67,0.403,1.649,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,5
0.44,1.581,0.478,1.456,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,6
0.457,1.542,0.426,1.607,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,7
0.464,1.482,0.469,1.458,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,8
0.497,1.418,0.522,1.335,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,9
0.511,1.399,0.527,1.332,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,10
0.513,1.362,0.519,1.391,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,11
0.544,1.304,0.468,1.603,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,12
0.539,1.298,0.562,1.273,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,13
0.555,1.254,0.538,1.306,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,14
0.569,1.238,0.56,1.243,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,15
0.577,1.199,0.564,1.27,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,16
0.584,1.182,0.547,1.29,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,17
0.594,1.14,0.507,1.396,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,18
0.598,1.145,0.576,1.229,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,19
0.607,1.113,0.577,1.265,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,20
0.605,1.111,0.564,1.298,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,21
0.622,1.056,0.533,1.361,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.588,22
