acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,portion,sample_no,mean_late_val_acc,epoch
0.139,2.379,0.212,2.214,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,1
0.216,2.117,0.247,2.05,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,2
0.288,1.982,0.343,1.858,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,3
0.326,1.858,0.354,1.857,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,4
0.346,1.809,0.386,1.729,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,5
0.368,1.752,0.386,1.72,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,6
0.373,1.716,0.398,1.648,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,7
0.392,1.674,0.345,1.895,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,8
0.411,1.635,0.43,1.59,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,9
0.419,1.604,0.408,1.545,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,10
0.428,1.596,0.442,1.525,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,11
0.443,1.558,0.476,1.482,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,12
0.453,1.542,0.457,1.554,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,13
0.455,1.516,0.478,1.443,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,14
0.468,1.495,0.482,1.423,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,15
0.476,1.475,0.475,1.527,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,16
0.481,1.457,0.482,1.424,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,17
0.484,1.446,0.497,1.37,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,18
0.494,1.433,0.534,1.328,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,19
0.505,1.404,0.515,1.377,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,20
0.502,1.402,0.537,1.352,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,21
0.505,1.4,0.47,1.523,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,22
0.518,1.38,0.526,1.355,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,23
0.52,1.367,0.533,1.278,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.63,24
