acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,aug3_type,aug3_magnitude,portion,sample_no,mean_late_val_acc
0.132,2.286,0.191,2.179,0,first,0.0,first,0.0,first,0.0,0.0,1,
0.225,2.113,0.231,2.124,0,first,0.0,first,0.0,first,0.0,0.0,1,
0.264,1.98,0.321,1.902,0,first,0.0,first,0.0,first,0.0,0.0,1,
0.308,1.861,0.371,1.786,0,first,0.0,first,0.0,first,0.0,0.0,1,
0.345,1.766,0.346,1.841,0,first,0.0,first,0.0,first,0.0,0.0,1,
0.372,1.706,0.359,1.749,0,first,0.0,first,0.0,first,0.0,0.0,1,
0.406,1.647,0.393,1.66,0,first,0.0,first,0.0,first,0.0,0.0,1,
0.414,1.617,0.397,1.672,0,first,0.0,first,0.0,first,0.0,0.0,1,
0.428,1.566,0.421,1.539,0,first,0.0,first,0.0,first,0.0,0.0,1,
0.441,1.532,0.41,1.651,0,first,0.0,first,0.0,first,0.0,0.0,1,
0.384,1.755,0.308,1.989,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.384,1.711,0.391,1.774,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.409,1.637,0.388,1.602,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.421,1.614,0.449,1.487,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.42,1.599,0.436,1.56,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.45,1.546,0.31,1.977,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.466,1.526,0.32,2.532,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.471,1.476,0.442,1.621,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.476,1.459,0.454,1.585,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.489,1.422,0.462,1.582,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.508,1.41,0.476,1.56,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.515,1.377,0.461,1.528,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.506,1.347,0.317,2.109,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.533,1.358,0.36,1.87,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.536,1.338,0.45,1.555,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.538,1.312,0.507,1.522,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.555,1.268,0.494,1.486,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.556,1.27,0.423,1.726,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.556,1.232,0.471,1.632,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.566,1.219,0.5,1.659,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.575,1.212,0.494,1.481,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.587,1.197,0.422,2.056,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.578,1.17,0.5,1.597,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.58,1.194,0.434,1.848,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.604,1.141,0.504,1.659,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.607,1.148,0.515,1.46,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.6,1.12,0.519,1.45,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.61,1.111,0.518,1.592,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
0.625,1.086,0.504,1.496,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.482
