INFO:root:run_bayesianopt ran with args: (), and kwargs: {'dataset_name': 'cifar10', 'model_name': 'basicCNN', 'num_classes': 10, 'val_set_size': 1000, 'train_set_size': 1000, 'opt_iterations': 10000, 'opt_samples': 1, 'opt_initial_points': 10, 'child_epochs': 60, 'child_first_train_epochs': 0, 'child_batch_size': 32, 'opt_last_n_epochs': 5}
INFO:root:run_bayesianopt ran with args: (), and kwargs: {'dataset_name': 'cifar10', 'model_name': 'basicCNN', 'num_classes': 10, 'val_set_size': 1000, 'train_set_size': 1000, 'opt_iterations': 10000, 'opt_samples': 1, 'opt_initial_points': 20, 'child_epochs': 60, 'child_first_train_epochs': 0, 'child_batch_size': 32, 'opt_last_n_epochs': 5}
INFO:root:1, 0.38033333333333336, ['dropout', 0.8442657485810175, 'invert', 0.8472517387841256, 0.6235636967859725]
INFO:root:2, 0.38000000000000006, ['sharpen', 0.29753460654447234, 'crop', 0.27265629458011326, 0.47766511732135]
INFO:root:3, 0.39566666666666667, ['brighten', 0.47997717237505744, 'sharpen', 0.8360787635373778, 0.33739616041726844]
INFO:root:4, 0.37733333333333335, ['coarse-dropout', 0.368241539840548, 'clouds', 0.14035078041264518, 0.8700872583584366]
INFO:root:5, 0.37766666666666665, ['emboss', 0.8009107519796445, 'additive-gaussian-noise', 0.6788795301189604, 0.7206326547259169]
INFO:root:6, 0.363, ['dropout', 0.5373732294490108, 'brighten', 0.10590760718779216, 0.47360041934665753]
INFO:root:7, 0.38366666666666666, ['rotate', 0.7369181771289582, 'shear', 0.13521817340545209, 0.32414100779321414]
INFO:root:8, 0.39233333333333337, ['rotate', 0.2223213882515877, 'sharpen', 0.9025984755294049, 0.4499499899112277]
INFO:root:9, 0.38400000000000006, ['dropout', 0.9023485831739845, 'gaussian-blur', 0.969809067746749, 0.6531400357979378]
INFO:root:10, 0.4046666666666667, ['rotate', 0.35815216696952507, 'brighten', 0.6078306687154679, 0.32504722900835253]
INFO:root:11, 0.41, ['crop', 0.6342740579573352, 'clouds', 0.652790317005491, 0.635058873603564]
INFO:root:12, 0.377, ['clouds', 0.5818503294385344, 'sharpen', 0.474697502288413, 0.6235101011318683]
INFO:root:13, 0.4146666666666667, ['translate-y', 0.6747523222590208, 'translate-y', 0.7783454820259093, 0.9495710534507423]
INFO:root:14, 0.371, ['coarse-dropout', 0.013571635612109837, 'dropout', 0.6736596308357895, 0.971945002499666]
INFO:root:15, 0.399, ['fog', 0.5096243767199002, 'crop', 0.4511592145209282, 0.01998766540875874]
INFO:root:16, 0.38999999999999996, ['emboss', 0.9795867288127287, 'translate-y', 0.48089353083616293, 0.6886611828057705]
INFO:root:17, 0.38000000000000006, ['fog', 0.9182354663621449, 'shear', 0.5651888666048754, 0.8651025613053852]
INFO:root:18, 0.414, ['additive-gaussian-noise', 0.916722954019461, 'fog', 0.0831124926306024, 0.2777185612810325]
INFO:root:19, 0.4223333333333333, ['crop', 0.8423420796677312, 'coarse-dropout', 0.8413861191973546, 0.2647301642834497]
INFO:root:20, 0.375, ['sharpen', 0.5528214798875716, 'rotate', 0.3698080927483401, 0.14644176272911227]
INFO:root:21, 0.418, ['fog', 0.5265842121210255, 'fog', 0.6373266751616076, 0.6323943280211836]
INFO:root:22, 0.389, ['dropout', 0.5440529289223083, 'coarse-dropout', 0.2711746866224766, 0.11107473891594213]
INFO:root:23, 0.38766666666666666, ['sharpen', 0.5275446295989618, 'crop', 0.5692581498374681, 0.740932879405186]
INFO:root:24, 0.423, ['rotate', 0.6191804011039738, 'gamma-contrast', 0.18422727343484283, 0.4658757971668299]
INFO:root:25, 0.385, ['clouds', 0.6018620032001412, 'clouds', 0.040977842254689596, 0.5284532097546695]
INFO:root:26, 0.3586666666666667, ['dropout', 0.6011894819989656, 'brighten', 0.08135784157062277, 0.41595554487442343]
INFO:root:27, 0.35400000000000004, ['dropout', 0.7878559748674211, 'emboss', 0.08714839061356584, 0.42833080051888384]
INFO:root:28, 0.37200000000000005, ['dropout', 0.6806790709311752, 'translate-x', 0.09480878662131145, 0.2731632673278998]
INFO:root:29, 0.3866666666666667, ['dropout', 0.7102801246995385, 'rotate', 0.011937940823352314, 0.21084252718199087]
INFO:root:30, 0.3586666666666667, ['dropout', 0.6624212735598968, 'invert', 0.18667839674748868, 0.4096104824084512]
INFO:root:31, 0.37733333333333335, ['dropout', 0.6649854934264458, 'additive-gaussian-noise', 0.7636914782194562, 0.4455670185571625]
INFO:root:32, 0.37166666666666665, ['dropout', 0.6345301515123037, 'emboss', 0.18761259483471487, 0.5140601945164833]
INFO:root:33, 0.38599999999999995, ['dropout', 0.04359347299421002, 'emboss', 0.01942454052256404, 0.2520114478338768]
INFO:root:34, 0.4266666666666667, ['dropout', 0.8972251494752036, 'gamma-contrast', 0.10916789775354876, 0.3488341849025632]
INFO:root:35, 0.401, ['dropout', 0.7374108238039006, 'invert', 0.1290612358507736, 0.40409404826237183]
INFO:root:36, 0.40066666666666667, ['dropout', 0.9876230500081666, 'rotate', 0.09353366374547913, 0.4674199143666853]
INFO:root:37, 0.4036666666666666, ['dropout', 0.7802889919793834, 'invert', 0.11542694181712257, 0.431614950585665]
INFO:root:38, 0.39266666666666666, ['dropout', 0.4417888751288105, 'fog', 0.14625015168796232, 0.4126488419895714]
INFO:root:39, 0.4013333333333334, ['crop', 0.7232410495666185, 'dropout', 0.08485642122421856, 0.42828776681269953]
INFO:root:40, 0.401, ['translate-y', 0.6571418064217204, 'dropout', 0.08344886602163228, 0.41732397510817854]
