acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,aug3_type,aug3_magnitude,portion,sample_no,mean_late_val_acc
0.116,2.311,0.122,2.295,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.145,2.284,0.126,2.233,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.175,2.227,0.251,2.057,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.241,2.125,0.334,1.919,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.259,2.037,0.288,1.927,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.288,1.983,0.274,1.898,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.288,1.922,0.338,1.89,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.313,1.893,0.378,1.705,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.341,1.844,0.395,1.702,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.356,1.789,0.362,1.772,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.37,1.745,0.334,1.786,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.375,1.731,0.389,1.702,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.403,1.677,0.435,1.586,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.406,1.65,0.34,1.792,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.415,1.618,0.434,1.605,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.439,1.561,0.43,1.592,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.441,1.543,0.441,1.535,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.451,1.514,0.374,1.729,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
0.464,1.492,0.46,1.498,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.471
