acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,aug3_type,aug3_magnitude,portion,sample_no,mean_late_val_acc
0.104,2.312,0.09,2.309,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.137,2.276,0.244,2.183,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.194,2.153,0.109,2.395,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.218,2.077,0.297,1.927,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.258,2.024,0.345,1.867,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.277,1.958,0.302,1.946,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.296,1.928,0.221,2.241,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.321,1.889,0.347,1.771,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.326,1.853,0.295,2.068,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.342,1.822,0.288,1.986,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.36,1.771,0.319,1.905,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.358,1.757,0.393,1.638,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.372,1.721,0.342,1.898,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.387,1.671,0.376,1.675,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.405,1.646,0.316,2.126,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.416,1.644,0.401,1.614,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.419,1.617,0.408,1.612,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.418,1.599,0.337,1.803,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.449,1.576,0.427,1.618,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.449,1.551,0.443,1.553,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.454,1.524,0.375,1.705,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.462,1.507,0.463,1.548,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.461,1.494,0.367,1.732,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.478,1.45,0.445,1.602,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.467,1.462,0.393,1.868,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.491,1.424,0.448,1.536,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.513,1.406,0.33,2.177,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.506,1.415,0.276,3.04,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.511,1.376,0.442,1.639,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.51,1.38,0.466,1.728,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.531,1.341,0.423,1.6,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.525,1.346,0.468,1.493,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.524,1.356,0.466,1.671,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.533,1.308,0.367,2.012,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.539,1.302,0.499,1.423,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.538,1.298,0.414,1.714,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.556,1.265,0.465,1.664,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.544,1.28,0.444,1.705,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.557,1.27,0.51,1.454,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.561,1.244,0.33,2.302,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.565,1.245,0.479,1.566,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.57,1.231,0.499,1.454,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.566,1.251,0.447,1.583,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.582,1.227,0.322,1.982,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.552,1.254,0.461,1.472,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.575,1.197,0.465,1.841,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.578,1.229,0.375,1.945,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.582,1.198,0.326,2.44,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.581,1.25,0.474,1.557,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.578,1.21,0.465,1.775,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.591,1.172,0.48,1.505,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.596,1.157,0.46,1.734,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.592,1.208,0.5,1.458,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.589,1.213,0.464,1.645,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.603,1.161,0.463,1.583,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.591,1.171,0.457,1.576,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.598,1.155,0.441,1.753,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.6,1.168,0.459,1.648,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.598,1.143,0.464,1.535,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
0.597,1.132,0.457,1.87,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.492
