acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,portion,sample_no,mean_late_val_acc,epoch
0.183,2.173,0.295,1.882,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.296,1
0.296,1.931,0.298,1.954,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.296,2
0.176,2.191,0.3,1.94,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.332,1
0.308,1.903,0.363,1.774,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,2,0.332,2
0.167,2.208,0.27,2.022,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.294,1
0.299,1.926,0.319,1.835,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,3,0.294,2
0.151,2.238,0.187,2.062,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.187,1
0.294,1.954,0.216,2.092,2,emboss,0.298,gaussian-blur,0.273,0.478,1,0.187,2
0.161,2.251,0.179,2.158,2,emboss,0.298,gaussian-blur,0.273,0.478,2,0.267,1
0.275,2.0,0.354,1.779,2,emboss,0.298,gaussian-blur,0.273,0.478,2,0.267,2
0.148,2.258,0.242,2.023,2,emboss,0.298,gaussian-blur,0.273,0.478,3,0.29,1
0.281,1.982,0.339,1.822,2,emboss,0.298,gaussian-blur,0.273,0.478,3,0.29,2
0.145,2.265,0.236,2.158,3,super-pixels,0.48,emboss,0.836,0.337,1,0.275,1
0.252,2.051,0.314,1.917,3,super-pixels,0.48,emboss,0.836,0.337,1,0.275,2
0.134,2.259,0.28,2.07,3,super-pixels,0.48,emboss,0.836,0.337,2,0.309,1
0.25,2.045,0.337,1.876,3,super-pixels,0.48,emboss,0.836,0.337,2,0.309,2
0.139,2.264,0.265,2.063,3,super-pixels,0.48,emboss,0.836,0.337,3,0.31,1
0.248,2.068,0.355,1.878,3,super-pixels,0.48,emboss,0.836,0.337,3,0.31,2
0.123,2.285,0.13,2.188,4,brighten,0.368,add-to-hue-and-saturation,0.14,0.87,1,0.147,1
0.199,2.141,0.164,2.199,4,brighten,0.368,add-to-hue-and-saturation,0.14,0.87,1,0.147,2
0.128,2.286,0.239,2.123,4,brighten,0.368,add-to-hue-and-saturation,0.14,0.87,2,0.258,1
0.195,2.15,0.276,1.983,4,brighten,0.368,add-to-hue-and-saturation,0.14,0.87,2,0.258,2
0.114,2.279,0.229,2.136,4,brighten,0.368,add-to-hue-and-saturation,0.14,0.87,3,0.267,1
0.191,2.146,0.305,1.91,4,brighten,0.368,add-to-hue-and-saturation,0.14,0.87,3,0.267,2
0.16,2.227,0.24,2.042,5,dropout,0.801,coarse-dropout,0.679,0.721,1,0.278,1
0.238,2.067,0.316,1.948,5,dropout,0.801,coarse-dropout,0.679,0.721,1,0.278,2
0.158,2.23,0.184,2.126,5,dropout,0.801,coarse-dropout,0.679,0.721,2,0.241,1
0.245,2.07,0.298,1.941,5,dropout,0.801,coarse-dropout,0.679,0.721,2,0.241,2
0.16,2.227,0.227,2.015,5,dropout,0.801,coarse-dropout,0.679,0.721,3,0.222,1
0.251,2.065,0.218,2.168,5,dropout,0.801,coarse-dropout,0.679,0.721,3,0.222,2
0.136,2.272,0.246,2.073,6,gamma-contrast,0.537,clouds,0.106,0.474,1,0.27,1
0.242,2.07,0.294,1.988,6,gamma-contrast,0.537,clouds,0.106,0.474,1,0.27,2
0.134,2.276,0.197,2.162,6,gamma-contrast,0.537,clouds,0.106,0.474,2,0.222,1
0.247,2.051,0.248,2.139,6,gamma-contrast,0.537,clouds,0.106,0.474,2,0.222,2
0.137,2.266,0.124,3.104,6,gamma-contrast,0.537,clouds,0.106,0.474,3,0.194,1
0.241,2.099,0.264,2.013,6,gamma-contrast,0.537,clouds,0.106,0.474,3,0.194,2
0.149,2.261,0.23,2.066,7,shear,0.737,translate-x,0.135,0.324,1,0.235,1
0.265,2.02,0.24,2.142,7,shear,0.737,translate-x,0.135,0.324,1,0.235,2
0.157,2.255,0.301,2.045,7,shear,0.737,translate-x,0.135,0.324,2,0.323,1
0.244,2.035,0.344,1.86,7,shear,0.737,translate-x,0.135,0.324,2,0.323,2
0.155,2.239,0.263,2.101,7,shear,0.737,translate-x,0.135,0.324,3,0.299,1
0.249,2.021,0.335,1.856,7,shear,0.737,translate-x,0.135,0.324,3,0.299,2
0.153,2.235,0.252,2.065,8,rotate,0.222,emboss,0.903,0.45,1,0.246,1
0.266,2.008,0.241,2.113,8,rotate,0.222,emboss,0.903,0.45,1,0.246,2
0.155,2.246,0.248,2.053,8,rotate,0.222,emboss,0.903,0.45,2,0.278,1
0.277,2.001,0.308,1.894,8,rotate,0.222,emboss,0.903,0.45,2,0.278,2
0.16,2.249,0.2,2.129,8,rotate,0.222,emboss,0.903,0.45,3,0.256,1
0.269,2.028,0.311,1.869,8,rotate,0.222,emboss,0.903,0.45,3,0.256,2
0.159,2.231,0.147,2.195,9,brighten,0.902,gaussian-blur,0.97,0.653,1,0.225,1
0.264,2.025,0.304,1.905,9,brighten,0.902,gaussian-blur,0.97,0.653,1,0.225,2
0.162,2.209,0.291,2.049,9,brighten,0.902,gaussian-blur,0.97,0.653,2,0.326,1
0.264,2.014,0.36,1.788,9,brighten,0.902,gaussian-blur,0.97,0.653,2,0.326,2
0.162,2.223,0.294,1.993,9,brighten,0.902,gaussian-blur,0.97,0.653,3,0.33,1
0.27,2.015,0.365,1.847,9,brighten,0.902,gaussian-blur,0.97,0.653,3,0.33,2
0.14,2.262,0.259,2.037,10,shear,0.358,clouds,0.608,0.325,1,0.25,1
0.248,2.065,0.241,1.986,10,shear,0.358,clouds,0.608,0.325,1,0.25,2
0.132,2.288,0.24,2.15,10,shear,0.358,clouds,0.608,0.325,2,0.251,1
0.238,2.071,0.261,1.989,10,shear,0.358,clouds,0.608,0.325,2,0.251,2
0.135,2.269,0.183,2.18,10,shear,0.358,clouds,0.608,0.325,3,0.263,1
0.239,2.078,0.343,1.887,10,shear,0.358,clouds,0.608,0.325,3,0.263,2
