acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,aug3_type,aug3_magnitude,portion,sample_no,mean_late_val_acc
0.112,2.311,0.12,2.301,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.138,2.275,0.175,2.202,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.206,2.162,0.226,2.127,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.226,2.075,0.185,2.158,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.236,2.017,0.127,2.457,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.263,1.986,0.322,1.865,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.284,1.925,0.199,2.297,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.299,1.901,0.261,1.97,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.302,1.857,0.332,1.869,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.315,1.838,0.335,1.79,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.323,1.801,0.249,2.038,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.351,1.782,0.307,1.91,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.351,1.764,0.315,1.966,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.37,1.725,0.371,1.763,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.376,1.703,0.219,2.537,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.377,1.705,0.259,2.166,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.376,1.684,0.25,2.348,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.393,1.676,0.462,1.469,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.411,1.645,0.369,1.72,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.414,1.621,0.329,1.973,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.413,1.634,0.435,1.517,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.418,1.597,0.426,1.544,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.428,1.58,0.426,1.562,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.438,1.564,0.439,1.534,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.437,1.558,0.291,2.7,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.439,1.564,0.448,1.53,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.451,1.514,0.454,1.551,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.447,1.539,0.474,1.431,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.443,1.534,0.458,1.503,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.458,1.51,0.409,1.608,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.457,1.503,0.424,1.694,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.464,1.48,0.306,2.02,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.463,1.499,0.495,1.378,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.474,1.474,0.467,1.507,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.458,1.498,0.474,1.426,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.477,1.456,0.47,1.443,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.474,1.468,0.454,1.54,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.485,1.446,0.471,1.422,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.474,1.448,0.491,1.375,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.482,1.429,0.463,1.44,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.486,1.425,0.458,1.507,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.489,1.415,0.427,1.612,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.501,1.423,0.515,1.375,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.497,1.394,0.413,1.727,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.503,1.411,0.509,1.335,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.495,1.391,0.416,1.82,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.503,1.382,0.494,1.49,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.504,1.423,0.424,1.652,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.506,1.394,0.444,1.471,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
0.501,1.406,0.522,1.384,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.515
