acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,aug3_type,aug3_magnitude,portion,sample_no,mean_late_val_acc
0.117,2.301,0.192,2.22,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.178,2.223,0.097,2.601,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.233,2.088,0.215,2.172,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.279,1.98,0.322,1.8,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.313,1.89,0.369,1.708,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.335,1.823,0.336,1.787,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.365,1.772,0.355,1.826,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.393,1.714,0.361,1.765,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.398,1.685,0.263,2.021,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.428,1.622,0.387,1.8,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.443,1.57,0.275,2.675,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.442,1.559,0.327,2.349,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.476,1.481,0.378,1.86,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.47,1.479,0.396,1.772,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.476,1.46,0.43,1.639,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.496,1.421,0.362,1.804,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.516,1.367,0.265,2.158,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.511,1.367,0.42,1.784,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.521,1.336,0.382,1.893,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.524,1.328,0.264,2.283,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.536,1.307,0.451,1.725,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.545,1.277,0.459,1.67,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.561,1.227,0.443,1.624,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.556,1.238,0.429,1.938,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.563,1.225,0.476,1.561,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.578,1.19,0.37,1.815,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.583,1.177,0.426,1.88,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.582,1.161,0.434,1.873,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.592,1.137,0.427,2.012,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.595,1.151,0.465,1.702,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.612,1.088,0.469,1.576,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.603,1.101,0.353,2.91,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.617,1.067,0.467,1.721,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.631,1.074,0.446,1.805,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.643,1.041,0.301,2.44,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.627,1.051,0.464,1.733,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.631,1.035,0.445,2.093,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.635,1.022,0.488,1.574,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.649,1.0,0.346,2.076,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.649,0.987,0.494,1.611,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.665,0.958,0.471,1.767,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.658,0.989,0.421,2.277,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.656,0.968,0.474,1.75,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.658,0.957,0.531,1.631,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.674,0.942,0.416,1.834,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.687,0.904,0.522,1.586,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.679,0.923,0.486,1.778,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.673,0.893,0.526,1.737,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.667,0.91,0.505,1.64,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.685,0.896,0.412,2.024,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.395
0.154,2.244,0.235,2.082,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.542
0.224,2.059,0.255,1.931,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.542
0.264,1.961,0.315,1.908,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.542
0.305,1.858,0.33,1.792,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.542
0.344,1.787,0.412,1.641,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.542
0.358,1.734,0.361,1.714,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.542
0.383,1.696,0.413,1.596,2,crop,0.273,emboss,0.812,emboss,0.393,0.836,1,0.542
