acc,loss,val_acc,val_loss,params_0,params_1,sample
0.114,2.292,0.149,2.269,1,0.45317230112212936,a
0.2,2.192,0.238,2.089,1,0.45317230112212936,a
0.218,2.074,0.279,1.996,1,0.45317230112212936,a
0.241,2.01,0.322,1.919,1,0.45317230112212936,a
0.277,1.946,0.346,1.85,1,0.45317230112212936,a
0.294,1.919,0.344,1.817,1,0.45317230112212936,a
0.296,1.895,0.353,1.791,1,0.45317230112212936,a
0.31,1.877,0.351,1.793,1,0.45317230112212936,a
0.314,1.859,0.376,1.748,1,0.45317230112212936,a
0.331,1.831,0.357,1.751,1,0.45317230112212936,a
0.343,1.802,0.388,1.691,1,0.45317230112212936,a
0.351,1.786,0.364,1.727,1,0.45317230112212936,a
0.351,1.766,0.384,1.71,1,0.45317230112212936,a
0.377,1.735,0.394,1.646,1,0.45317230112212936,a
0.382,1.727,0.365,1.654,1,0.45317230112212936,a
0.147,2.252,0.198,2.147,1,0.45317230112212936,b
0.206,2.096,0.274,2.056,1,0.45317230112212936,b
0.236,2.048,0.264,2.023,1,0.45317230112212936,b
0.255,2.008,0.286,1.982,1,0.45317230112212936,b
0.265,1.982,0.304,1.913,1,0.45317230112212936,b
0.285,1.939,0.328,1.877,1,0.45317230112212936,b
0.307,1.908,0.359,1.811,1,0.45317230112212936,b
0.313,1.879,0.368,1.809,1,0.45317230112212936,b
0.326,1.855,0.372,1.767,1,0.45317230112212936,b
0.342,1.845,0.38,1.761,1,0.45317230112212936,b
0.333,1.815,0.373,1.735,1,0.45317230112212936,b
0.344,1.798,0.386,1.708,1,0.45317230112212936,b
0.357,1.77,0.387,1.668,1,0.45317230112212936,b
0.369,1.751,0.395,1.654,1,0.45317230112212936,b
0.376,1.732,0.38,1.681,1,0.45317230112212936,b
0.128,2.282,0.2,2.229,1,0.45317230112212936,c
0.203,2.136,0.243,2.077,1,0.45317230112212936,c
0.235,2.052,0.295,1.987,1,0.45317230112212936,c
0.259,2.007,0.298,1.953,1,0.45317230112212936,c
0.28,1.952,0.316,1.87,1,0.45317230112212936,c
0.295,1.915,0.329,1.838,1,0.45317230112212936,c
0.306,1.873,0.351,1.798,1,0.45317230112212936,c
0.319,1.864,0.361,1.762,1,0.45317230112212936,c
0.322,1.832,0.359,1.811,1,0.45317230112212936,c
0.337,1.813,0.378,1.705,1,0.45317230112212936,c
0.34,1.79,0.37,1.733,1,0.45317230112212936,c
0.357,1.78,0.389,1.704,1,0.45317230112212936,c
0.368,1.749,0.389,1.677,1,0.45317230112212936,c
0.371,1.74,0.396,1.644,1,0.45317230112212936,c
0.365,1.718,0.396,1.654,1,0.45317230112212936,c
0.109,2.298,0.108,2.281,1,0.45317230112212936,d
0.173,2.233,0.202,2.153,1,0.45317230112212936,d
0.228,2.106,0.265,2.044,1,0.45317230112212936,d
0.241,2.039,0.304,1.969,1,0.45317230112212936,d
0.273,1.992,0.313,1.916,1,0.45317230112212936,d
0.293,1.955,0.34,1.864,1,0.45317230112212936,d
0.295,1.919,0.312,1.913,1,0.45317230112212936,d
0.314,1.889,0.364,1.785,1,0.45317230112212936,d
0.333,1.863,0.336,1.833,1,0.45317230112212936,d
0.324,1.843,0.378,1.751,1,0.45317230112212936,d
0.337,1.818,0.377,1.745,1,0.45317230112212936,d
0.344,1.812,0.35,1.811,1,0.45317230112212936,d
0.358,1.792,0.382,1.75,1,0.45317230112212936,d
0.357,1.783,0.384,1.735,1,0.45317230112212936,d
0.375,1.748,0.404,1.664,1,0.45317230112212936,d
0.115,2.295,0.119,2.279,1,0.45317230112212936,e
0.181,2.21,0.223,2.1,1,0.45317230112212936,e
0.22,2.083,0.265,2.02,1,0.45317230112212936,e
0.24,2.038,0.263,2.004,1,0.45317230112212936,e
0.28,1.985,0.338,1.918,1,0.45317230112212936,e
0.288,1.95,0.337,1.91,1,0.45317230112212936,e
0.297,1.925,0.358,1.828,1,0.45317230112212936,e
0.311,1.893,0.363,1.804,1,0.45317230112212936,e
0.323,1.874,0.381,1.777,1,0.45317230112212936,e
0.322,1.855,0.379,1.749,1,0.45317230112212936,e
0.349,1.82,0.385,1.73,1,0.45317230112212936,e
0.347,1.813,0.369,1.724,1,0.45317230112212936,e
0.354,1.79,0.392,1.707,1,0.45317230112212936,e
0.357,1.772,0.394,1.674,1,0.45317230112212936,e
0.363,1.755,0.404,1.654,1,0.45317230112212936,e
