acc,loss,val_acc,val_loss,params_0,params_1,sample
0.128,2.286,0.187,2.248,3,0.9736482669357395,a
0.188,2.167,0.218,2.098,3,0.9736482669357395,a
0.213,2.088,0.246,2.052,3,0.9736482669357395,a
0.249,2.05,0.284,2.021,3,0.9736482669357395,a
0.255,1.997,0.302,1.939,3,0.9736482669357395,a
0.291,1.946,0.35,1.884,3,0.9736482669357395,a
0.302,1.902,0.33,1.831,3,0.9736482669357395,a
0.316,1.864,0.346,1.808,3,0.9736482669357395,a
0.319,1.846,0.372,1.76,3,0.9736482669357395,a
0.33,1.821,0.386,1.756,3,0.9736482669357395,a
0.34,1.808,0.354,1.754,3,0.9736482669357395,a
0.353,1.786,0.365,1.735,3,0.9736482669357395,a
0.357,1.773,0.398,1.692,3,0.9736482669357395,a
0.366,1.751,0.376,1.746,3,0.9736482669357395,a
0.377,1.727,0.401,1.655,3,0.9736482669357395,a
0.116,2.304,0.101,2.291,3,0.9736482669357395,b
0.153,2.267,0.227,2.213,3,0.9736482669357395,b
0.21,2.141,0.243,2.083,3,0.9736482669357395,b
0.23,2.075,0.268,2.042,3,0.9736482669357395,b
0.245,2.044,0.274,2.028,3,0.9736482669357395,b
0.257,2.02,0.286,1.986,3,0.9736482669357395,b
0.267,1.986,0.315,1.931,3,0.9736482669357395,b
0.291,1.937,0.318,1.91,3,0.9736482669357395,b
0.304,1.895,0.34,1.834,3,0.9736482669357395,b
0.326,1.878,0.349,1.85,3,0.9736482669357395,b
0.335,1.844,0.355,1.794,3,0.9736482669357395,b
0.33,1.837,0.357,1.791,3,0.9736482669357395,b
0.346,1.802,0.366,1.771,3,0.9736482669357395,b
0.354,1.78,0.356,1.777,3,0.9736482669357395,b
0.353,1.767,0.391,1.716,3,0.9736482669357395,b
0.11,2.295,0.111,2.273,3,0.9736482669357395,c
0.187,2.196,0.232,2.095,3,0.9736482669357395,c
0.241,2.055,0.241,2.036,3,0.9736482669357395,c
0.256,2.008,0.312,1.946,3,0.9736482669357395,c
0.282,1.958,0.323,1.893,3,0.9736482669357395,c
0.305,1.901,0.332,1.872,3,0.9736482669357395,c
0.32,1.876,0.357,1.818,3,0.9736482669357395,c
0.33,1.848,0.337,1.796,3,0.9736482669357395,c
0.342,1.812,0.36,1.734,3,0.9736482669357395,c
0.355,1.789,0.368,1.719,3,0.9736482669357395,c
0.356,1.77,0.387,1.712,3,0.9736482669357395,c
0.364,1.769,0.384,1.692,3,0.9736482669357395,c
0.365,1.739,0.364,1.727,3,0.9736482669357395,c
0.377,1.734,0.378,1.709,3,0.9736482669357395,c
0.381,1.708,0.389,1.657,3,0.9736482669357395,c
0.1,2.302,0.166,2.288,3,0.9736482669357395,d
0.173,2.234,0.231,2.133,3,0.9736482669357395,d
0.235,2.082,0.249,2.06,3,0.9736482669357395,d
0.235,2.045,0.251,2.026,3,0.9736482669357395,d
0.252,2.011,0.29,1.974,3,0.9736482669357395,d
0.28,1.967,0.294,1.934,3,0.9736482669357395,d
0.306,1.923,0.282,1.929,3,0.9736482669357395,d
0.314,1.882,0.281,1.919,3,0.9736482669357395,d
0.31,1.867,0.38,1.782,3,0.9736482669357395,d
0.328,1.833,0.383,1.763,3,0.9736482669357395,d
0.353,1.81,0.367,1.773,3,0.9736482669357395,d
0.361,1.787,0.393,1.73,3,0.9736482669357395,d
0.362,1.782,0.356,1.773,3,0.9736482669357395,d
0.364,1.757,0.368,1.742,3,0.9736482669357395,d
0.373,1.733,0.374,1.714,3,0.9736482669357395,d
0.112,2.301,0.13,2.287,3,0.9736482669357395,e
0.165,2.246,0.203,2.165,3,0.9736482669357395,e
0.213,2.1,0.238,2.139,3,0.9736482669357395,e
0.254,2.029,0.304,1.964,3,0.9736482669357395,e
0.277,1.964,0.327,1.879,3,0.9736482669357395,e
0.309,1.917,0.356,1.816,3,0.9736482669357395,e
0.32,1.876,0.331,1.807,3,0.9736482669357395,e
0.337,1.85,0.336,1.857,3,0.9736482669357395,e
0.347,1.825,0.384,1.745,3,0.9736482669357395,e
0.346,1.806,0.373,1.735,3,0.9736482669357395,e
0.351,1.785,0.393,1.746,3,0.9736482669357395,e
0.36,1.772,0.399,1.674,3,0.9736482669357395,e
0.372,1.75,0.408,1.676,3,0.9736482669357395,e
0.386,1.726,0.373,1.702,3,0.9736482669357395,e
0.385,1.722,0.399,1.649,3,0.9736482669357395,e
