acc,loss,val_acc,val_loss,params_0,params_1,sample
0.161,2.234,0.232,2.136,4,0.0,a
0.227,2.062,0.274,2.059,4,0.0,a
0.254,2.015,0.299,1.999,4,0.0,a
0.298,1.946,0.285,1.996,4,0.0,a
0.312,1.899,0.314,1.895,4,0.0,a
0.333,1.825,0.37,1.837,4,0.0,a
0.351,1.771,0.383,1.747,4,0.0,a
0.368,1.712,0.383,1.73,4,0.0,a
0.4,1.668,0.397,1.676,4,0.0,a
0.398,1.637,0.395,1.693,4,0.0,a
0.418,1.598,0.401,1.641,4,0.0,a
0.436,1.579,0.406,1.628,4,0.0,a
0.453,1.52,0.383,1.709,4,0.0,a
0.458,1.514,0.423,1.611,4,0.0,a
0.458,1.479,0.418,1.608,4,0.0,a
0.149,2.265,0.233,2.186,4,0.0,b
0.223,2.094,0.291,2.045,4,0.0,b
0.259,2.004,0.287,1.979,4,0.0,b
0.292,1.934,0.307,1.921,4,0.0,b
0.336,1.834,0.316,1.916,4,0.0,b
0.368,1.754,0.357,1.822,4,0.0,b
0.374,1.708,0.388,1.707,4,0.0,b
0.399,1.657,0.392,1.693,4,0.0,b
0.409,1.631,0.402,1.648,4,0.0,b
0.421,1.585,0.403,1.663,4,0.0,b
0.425,1.565,0.415,1.638,4,0.0,b
0.453,1.532,0.427,1.603,4,0.0,b
0.455,1.503,0.415,1.626,4,0.0,b
0.475,1.464,0.428,1.589,4,0.0,b
0.465,1.453,0.424,1.605,4,0.0,b
0.117,2.287,0.154,2.256,4,0.0,c
0.208,2.144,0.277,2.055,4,0.0,c
0.259,2.001,0.289,1.974,4,0.0,c
0.309,1.926,0.317,1.905,4,0.0,c
0.329,1.861,0.344,1.847,4,0.0,c
0.359,1.784,0.36,1.774,4,0.0,c
0.374,1.729,0.366,1.744,4,0.0,c
0.399,1.677,0.398,1.689,4,0.0,c
0.402,1.643,0.386,1.706,4,0.0,c
0.423,1.6,0.392,1.65,4,0.0,c
0.43,1.567,0.391,1.651,4,0.0,c
0.43,1.553,0.387,1.631,4,0.0,c
0.464,1.501,0.409,1.597,4,0.0,c
0.472,1.467,0.403,1.632,4,0.0,c
0.476,1.444,0.428,1.574,4,0.0,c
0.136,2.273,0.199,2.207,4,0.0,d
0.233,2.09,0.269,2.05,4,0.0,d
0.262,1.992,0.301,1.974,4,0.0,d
0.303,1.922,0.318,1.916,4,0.0,d
0.319,1.875,0.341,1.869,4,0.0,d
0.344,1.812,0.341,1.802,4,0.0,d
0.362,1.758,0.348,1.816,4,0.0,d
0.386,1.721,0.377,1.723,4,0.0,d
0.391,1.681,0.389,1.703,4,0.0,d
0.41,1.63,0.361,1.723,4,0.0,d
0.429,1.59,0.41,1.653,4,0.0,d
0.429,1.57,0.405,1.658,4,0.0,d
0.443,1.536,0.388,1.642,4,0.0,d
0.45,1.504,0.41,1.596,4,0.0,d
0.469,1.479,0.412,1.598,4,0.0,d
0.13,2.281,0.222,2.24,4,0.0,e
0.221,2.119,0.269,2.03,4,0.0,e
0.277,1.977,0.323,1.957,4,0.0,e
0.301,1.899,0.352,1.856,4,0.0,e
0.326,1.832,0.362,1.798,4,0.0,e
0.361,1.764,0.361,1.764,4,0.0,e
0.371,1.734,0.365,1.733,4,0.0,e
0.4,1.69,0.36,1.756,4,0.0,e
0.39,1.652,0.385,1.679,4,0.0,e
0.4,1.628,0.396,1.657,4,0.0,e
0.415,1.593,0.411,1.639,4,0.0,e
0.417,1.575,0.394,1.632,4,0.0,e
0.441,1.537,0.391,1.663,4,0.0,e
0.446,1.513,0.406,1.601,4,0.0,e
0.473,1.485,0.423,1.577,4,0.0,e
