acc,loss,val_acc,val_loss,params_0,params_1,sample
0.133,2.274,0.182,2.2,1,0.569311327434681,a
0.191,2.139,0.211,2.104,1,0.569311327434681,a
0.211,2.093,0.249,2.103,1,0.569311327434681,a
0.233,2.065,0.299,1.989,1,0.569311327434681,a
0.258,2.016,0.325,1.92,1,0.569311327434681,a
0.268,1.973,0.33,1.875,1,0.569311327434681,a
0.285,1.951,0.353,1.838,1,0.569311327434681,a
0.291,1.93,0.327,1.868,1,0.569311327434681,a
0.297,1.904,0.357,1.781,1,0.569311327434681,a
0.296,1.894,0.375,1.77,1,0.569311327434681,a
0.316,1.871,0.369,1.764,1,0.569311327434681,a
0.318,1.862,0.37,1.723,1,0.569311327434681,a
0.326,1.841,0.381,1.734,1,0.569311327434681,a
0.335,1.825,0.398,1.683,1,0.569311327434681,a
0.347,1.807,0.389,1.712,1,0.569311327434681,a
0.137,2.282,0.191,2.213,1,0.569311327434681,b
0.196,2.138,0.252,2.089,1,0.569311327434681,b
0.22,2.085,0.27,2.033,1,0.569311327434681,b
0.233,2.059,0.274,2.003,1,0.569311327434681,b
0.244,2.032,0.285,1.982,1,0.569311327434681,b
0.263,1.998,0.308,1.929,1,0.569311327434681,b
0.284,1.967,0.351,1.896,1,0.569311327434681,b
0.288,1.946,0.341,1.861,1,0.569311327434681,b
0.3,1.921,0.36,1.808,1,0.569311327434681,b
0.297,1.908,0.355,1.822,1,0.569311327434681,b
0.309,1.89,0.345,1.827,1,0.569311327434681,b
0.321,1.86,0.381,1.759,1,0.569311327434681,b
0.321,1.851,0.381,1.751,1,0.569311327434681,b
0.338,1.849,0.381,1.719,1,0.569311327434681,b
0.334,1.83,0.376,1.718,1,0.569311327434681,b
0.114,2.287,0.198,2.228,1,0.569311327434681,c
0.182,2.137,0.21,2.125,1,0.569311327434681,c
0.211,2.077,0.282,2.013,1,0.569311327434681,c
0.242,2.033,0.316,1.946,1,0.569311327434681,c
0.267,1.988,0.33,1.877,1,0.569311327434681,c
0.28,1.957,0.338,1.841,1,0.569311327434681,c
0.299,1.932,0.357,1.803,1,0.569311327434681,c
0.299,1.901,0.358,1.794,1,0.569311327434681,c
0.318,1.884,0.371,1.753,1,0.569311327434681,c
0.316,1.853,0.374,1.756,1,0.569311327434681,c
0.318,1.84,0.403,1.696,1,0.569311327434681,c
0.328,1.83,0.385,1.686,1,0.569311327434681,c
0.343,1.804,0.408,1.654,1,0.569311327434681,c
0.344,1.8,0.387,1.746,1,0.569311327434681,c
0.349,1.772,0.386,1.644,1,0.569311327434681,c
0.122,2.296,0.126,2.275,1,0.569311327434681,d
0.171,2.215,0.241,2.123,1,0.569311327434681,d
0.204,2.118,0.269,2.056,1,0.569311327434681,d
0.215,2.081,0.194,2.118,1,0.569311327434681,d
0.229,2.062,0.309,1.985,1,0.569311327434681,d
0.254,2.018,0.315,1.943,1,0.569311327434681,d
0.275,1.974,0.331,1.873,1,0.569311327434681,d
0.279,1.958,0.341,1.835,1,0.569311327434681,d
0.294,1.921,0.339,1.79,1,0.569311327434681,d
0.309,1.897,0.359,1.804,1,0.569311327434681,d
0.312,1.878,0.354,1.791,1,0.569311327434681,d
0.315,1.862,0.387,1.713,1,0.569311327434681,d
0.327,1.845,0.389,1.697,1,0.569311327434681,d
0.329,1.837,0.404,1.679,1,0.569311327434681,d
0.331,1.81,0.336,1.785,1,0.569311327434681,d
0.123,2.273,0.182,2.199,1,0.569311327434681,e
0.194,2.134,0.244,2.107,1,0.569311327434681,e
0.231,2.087,0.284,2.031,1,0.569311327434681,e
0.235,2.054,0.269,2.029,1,0.569311327434681,e
0.262,2.018,0.338,1.933,1,0.569311327434681,e
0.267,1.975,0.342,1.884,1,0.569311327434681,e
0.292,1.938,0.356,1.84,1,0.569311327434681,e
0.315,1.912,0.361,1.791,1,0.569311327434681,e
0.301,1.896,0.372,1.766,1,0.569311327434681,e
0.307,1.886,0.382,1.756,1,0.569311327434681,e
0.318,1.858,0.385,1.72,1,0.569311327434681,e
0.326,1.843,0.385,1.701,1,0.569311327434681,e
0.323,1.816,0.386,1.712,1,0.569311327434681,e
0.336,1.807,0.376,1.714,1,0.569311327434681,e
0.347,1.791,0.378,1.667,1,0.569311327434681,e
