acc,loss,val_acc,val_loss,params_0,params_1,sample
0.111,2.294,0.174,2.268,4,1.0,a
0.177,2.218,0.226,2.128,4,1.0,a
0.229,2.096,0.264,2.042,4,1.0,a
0.237,2.039,0.247,2.094,4,1.0,a
0.267,1.998,0.285,1.993,4,1.0,a
0.275,1.965,0.312,1.946,4,1.0,a
0.291,1.935,0.338,1.875,4,1.0,a
0.308,1.893,0.36,1.823,4,1.0,a
0.32,1.849,0.367,1.785,4,1.0,a
0.325,1.828,0.375,1.761,4,1.0,a
0.344,1.797,0.36,1.782,4,1.0,a
0.347,1.766,0.376,1.732,4,1.0,a
0.366,1.748,0.381,1.744,4,1.0,a
0.366,1.736,0.384,1.686,4,1.0,a
0.377,1.718,0.365,1.696,4,1.0,a
0.113,2.29,0.158,2.243,4,1.0,b
0.183,2.153,0.21,2.088,4,1.0,b
0.231,2.059,0.288,2.013,4,1.0,b
0.258,2.015,0.281,1.999,4,1.0,b
0.261,1.977,0.3,1.947,4,1.0,b
0.281,1.94,0.326,1.874,4,1.0,b
0.298,1.894,0.331,1.841,4,1.0,b
0.322,1.865,0.367,1.8,4,1.0,b
0.323,1.833,0.361,1.789,4,1.0,b
0.348,1.796,0.379,1.747,4,1.0,b
0.346,1.796,0.365,1.738,4,1.0,b
0.347,1.77,0.372,1.72,4,1.0,b
0.359,1.749,0.385,1.716,4,1.0,b
0.361,1.718,0.377,1.739,4,1.0,b
0.372,1.699,0.368,1.682,4,1.0,b
0.111,2.3,0.114,2.292,4,1.0,c
0.154,2.26,0.2,2.187,4,1.0,c
0.208,2.116,0.263,2.067,4,1.0,c
0.234,2.046,0.256,2.033,4,1.0,c
0.257,2.001,0.319,1.922,4,1.0,c
0.301,1.935,0.327,1.884,4,1.0,c
0.302,1.894,0.307,1.889,4,1.0,c
0.318,1.864,0.352,1.785,4,1.0,c
0.332,1.828,0.328,1.842,4,1.0,c
0.336,1.806,0.37,1.747,4,1.0,c
0.355,1.768,0.387,1.708,4,1.0,c
0.35,1.751,0.364,1.764,4,1.0,c
0.372,1.735,0.38,1.678,4,1.0,c
0.365,1.723,0.381,1.672,4,1.0,c
0.37,1.7,0.378,1.695,4,1.0,c
0.139,2.271,0.179,2.209,4,1.0,d
0.202,2.136,0.253,2.046,4,1.0,d
0.237,2.047,0.257,2.035,4,1.0,d
0.258,2.005,0.296,1.975,4,1.0,d
0.28,1.966,0.303,1.933,4,1.0,d
0.291,1.929,0.321,1.916,4,1.0,d
0.298,1.892,0.366,1.826,4,1.0,d
0.316,1.862,0.364,1.813,4,1.0,d
0.32,1.824,0.324,1.901,4,1.0,d
0.337,1.812,0.365,1.805,4,1.0,d
0.348,1.781,0.363,1.795,4,1.0,d
0.347,1.766,0.379,1.735,4,1.0,d
0.368,1.742,0.373,1.783,4,1.0,d
0.37,1.72,0.399,1.701,4,1.0,d
0.366,1.7,0.392,1.69,4,1.0,d
0.125,2.29,0.186,2.255,4,1.0,e
0.194,2.167,0.259,2.056,4,1.0,e
0.224,2.045,0.245,2.011,4,1.0,e
0.262,1.998,0.299,1.943,4,1.0,e
0.27,1.958,0.315,1.881,4,1.0,e
0.294,1.916,0.34,1.846,4,1.0,e
0.314,1.874,0.346,1.833,4,1.0,e
0.318,1.843,0.353,1.77,4,1.0,e
0.348,1.804,0.376,1.733,4,1.0,e
0.35,1.779,0.377,1.717,4,1.0,e
0.36,1.756,0.356,1.733,4,1.0,e
0.363,1.744,0.37,1.796,4,1.0,e
0.369,1.723,0.381,1.744,4,1.0,e
0.389,1.701,0.374,1.692,4,1.0,e
0.387,1.682,0.382,1.659,4,1.0,e
