acc,loss,val_acc,val_loss,params_0,params_1,sample
0.138,2.278,0.19,2.229,3,0.0,a
0.219,2.121,0.242,2.064,3,0.0,a
0.263,1.997,0.312,1.979,3,0.0,a
0.29,1.947,0.305,1.924,3,0.0,a
0.324,1.869,0.332,1.851,3,0.0,a
0.342,1.805,0.338,1.883,3,0.0,a
0.379,1.736,0.368,1.743,3,0.0,a
0.375,1.703,0.384,1.729,3,0.0,a
0.401,1.651,0.39,1.683,3,0.0,a
0.412,1.635,0.398,1.669,3,0.0,a
0.434,1.589,0.389,1.652,3,0.0,a
0.442,1.562,0.397,1.629,3,0.0,a
0.448,1.52,0.394,1.611,3,0.0,a
0.462,1.502,0.416,1.617,3,0.0,a
0.469,1.476,0.398,1.634,3,0.0,a
0.117,2.294,0.179,2.272,3,0.0,b
0.198,2.192,0.285,2.102,3,0.0,b
0.252,2.023,0.321,1.963,3,0.0,b
0.304,1.916,0.334,1.89,3,0.0,b
0.332,1.832,0.346,1.817,3,0.0,b
0.359,1.783,0.376,1.758,3,0.0,b
0.376,1.746,0.384,1.73,3,0.0,b
0.392,1.685,0.389,1.713,3,0.0,b
0.413,1.652,0.396,1.668,3,0.0,b
0.413,1.621,0.399,1.662,3,0.0,b
0.433,1.582,0.408,1.627,3,0.0,b
0.448,1.539,0.402,1.668,3,0.0,b
0.45,1.523,0.413,1.632,3,0.0,b
0.461,1.484,0.41,1.618,3,0.0,b
0.482,1.455,0.414,1.617,3,0.0,b
0.12,2.287,0.132,2.264,3,0.0,c
0.19,2.179,0.256,2.108,3,0.0,c
0.27,1.997,0.334,1.92,3,0.0,c
0.312,1.89,0.319,1.901,3,0.0,c
0.353,1.825,0.351,1.826,3,0.0,c
0.364,1.767,0.362,1.759,3,0.0,c
0.38,1.722,0.365,1.771,3,0.0,c
0.381,1.689,0.388,1.709,3,0.0,c
0.402,1.648,0.391,1.675,3,0.0,c
0.415,1.614,0.383,1.694,3,0.0,c
0.416,1.589,0.41,1.626,3,0.0,c
0.437,1.562,0.391,1.66,3,0.0,c
0.453,1.529,0.399,1.637,3,0.0,c
0.453,1.505,0.399,1.641,3,0.0,c
0.467,1.47,0.426,1.581,3,0.0,c
0.115,2.299,0.165,2.291,3,0.0,d
0.162,2.228,0.235,2.124,3,0.0,d
0.243,2.039,0.245,2.044,3,0.0,d
0.283,1.951,0.33,1.9,3,0.0,d
0.329,1.861,0.317,1.924,3,0.0,d
0.346,1.807,0.369,1.795,3,0.0,d
0.362,1.756,0.371,1.756,3,0.0,d
0.376,1.712,0.374,1.727,3,0.0,d
0.389,1.673,0.383,1.705,3,0.0,d
0.406,1.649,0.416,1.652,3,0.0,d
0.424,1.612,0.412,1.638,3,0.0,d
0.409,1.591,0.413,1.615,3,0.0,d
0.433,1.557,0.399,1.644,3,0.0,d
0.441,1.524,0.41,1.612,3,0.0,d
0.459,1.505,0.408,1.599,3,0.0,d
0.132,2.276,0.208,2.2,3,0.0,e
0.224,2.086,0.269,2.017,3,0.0,e
0.269,1.991,0.305,1.972,3,0.0,e
0.297,1.912,0.311,1.909,3,0.0,e
0.337,1.837,0.369,1.834,3,0.0,e
0.359,1.785,0.374,1.776,3,0.0,e
0.375,1.72,0.387,1.732,3,0.0,e
0.39,1.683,0.387,1.695,3,0.0,e
0.4,1.636,0.388,1.638,3,0.0,e
0.42,1.608,0.404,1.613,3,0.0,e
0.436,1.565,0.401,1.624,3,0.0,e
0.436,1.535,0.39,1.605,3,0.0,e
0.456,1.518,0.411,1.585,3,0.0,e
0.473,1.464,0.402,1.588,3,0.0,e
0.465,1.453,0.442,1.541,3,0.0,e
