acc,loss,val_acc,val_loss,params_0,params_1,sample
0.155,2.259,0.206,2.169,2,0.5527719503903769,a
0.22,2.082,0.257,2.054,2,0.5527719503903769,a
0.265,2.014,0.283,2.012,2,0.5527719503903769,a
0.298,1.963,0.284,1.955,2,0.5527719503903769,a
0.311,1.902,0.318,1.918,2,0.5527719503903769,a
0.346,1.832,0.342,1.817,2,0.5527719503903769,a
0.353,1.769,0.371,1.776,2,0.5527719503903769,a
0.369,1.729,0.392,1.736,2,0.5527719503903769,a
0.391,1.671,0.382,1.725,2,0.5527719503903769,a
0.404,1.636,0.368,1.741,2,0.5527719503903769,a
0.411,1.613,0.394,1.658,2,0.5527719503903769,a
0.419,1.564,0.402,1.634,2,0.5527719503903769,a
0.446,1.531,0.42,1.609,2,0.5527719503903769,a
0.45,1.514,0.422,1.59,2,0.5527719503903769,a
0.468,1.466,0.415,1.593,2,0.5527719503903769,a
0.136,2.272,0.195,2.182,2,0.5527719503903769,b
0.245,2.077,0.269,2.043,2,0.5527719503903769,b
0.267,1.999,0.284,1.991,2,0.5527719503903769,b
0.282,1.96,0.278,1.963,2,0.5527719503903769,b
0.311,1.898,0.316,1.927,2,0.5527719503903769,b
0.339,1.835,0.352,1.851,2,0.5527719503903769,b
0.353,1.789,0.366,1.795,2,0.5527719503903769,b
0.383,1.707,0.376,1.774,2,0.5527719503903769,b
0.391,1.688,0.396,1.712,2,0.5527719503903769,b
0.42,1.623,0.399,1.73,2,0.5527719503903769,b
0.423,1.601,0.399,1.694,2,0.5527719503903769,b
0.45,1.555,0.393,1.662,2,0.5527719503903769,b
0.44,1.532,0.426,1.61,2,0.5527719503903769,b
0.462,1.486,0.427,1.613,2,0.5527719503903769,b
0.479,1.456,0.396,1.632,2,0.5527719503903769,b
0.145,2.262,0.208,2.156,2,0.5527719503903769,c
0.242,2.059,0.259,2.025,2,0.5527719503903769,c
0.267,1.983,0.277,1.973,2,0.5527719503903769,c
0.3,1.919,0.327,1.891,2,0.5527719503903769,c
0.33,1.842,0.356,1.847,2,0.5527719503903769,c
0.348,1.77,0.362,1.766,2,0.5527719503903769,c
0.374,1.72,0.385,1.742,2,0.5527719503903769,c
0.39,1.661,0.371,1.732,2,0.5527719503903769,c
0.405,1.623,0.381,1.663,2,0.5527719503903769,c
0.405,1.601,0.368,1.715,2,0.5527719503903769,c
0.43,1.562,0.402,1.616,2,0.5527719503903769,c
0.448,1.527,0.396,1.608,2,0.5527719503903769,c
0.446,1.505,0.385,1.657,2,0.5527719503903769,c
0.465,1.469,0.396,1.692,2,0.5527719503903769,c
0.466,1.442,0.42,1.578,2,0.5527719503903769,c
0.117,2.291,0.186,2.263,2,0.5527719503903769,d
0.192,2.166,0.218,2.096,2,0.5527719503903769,d
0.244,2.033,0.282,2.002,2,0.5527719503903769,d
0.281,1.952,0.307,1.952,2,0.5527719503903769,d
0.326,1.864,0.345,1.852,2,0.5527719503903769,d
0.353,1.786,0.336,1.779,2,0.5527719503903769,d
0.365,1.728,0.364,1.754,2,0.5527719503903769,d
0.381,1.681,0.361,1.748,2,0.5527719503903769,d
0.401,1.656,0.392,1.686,2,0.5527719503903769,d
0.404,1.634,0.4,1.668,2,0.5527719503903769,d
0.426,1.594,0.407,1.648,2,0.5527719503903769,d
0.448,1.55,0.388,1.687,2,0.5527719503903769,d
0.441,1.531,0.403,1.642,2,0.5527719503903769,d
0.459,1.497,0.409,1.602,2,0.5527719503903769,d
0.46,1.468,0.412,1.637,2,0.5527719503903769,d
0.129,2.295,0.128,2.284,2,0.5527719503903769,e
0.185,2.222,0.236,2.138,2,0.5527719503903769,e
0.246,2.054,0.279,2.004,2,0.5527719503903769,e
0.27,1.977,0.292,1.949,2,0.5527719503903769,e
0.318,1.896,0.329,1.881,2,0.5527719503903769,e
0.332,1.825,0.356,1.804,2,0.5527719503903769,e
0.369,1.762,0.365,1.779,2,0.5527719503903769,e
0.38,1.711,0.377,1.735,2,0.5527719503903769,e
0.39,1.681,0.381,1.699,2,0.5527719503903769,e
0.413,1.626,0.401,1.68,2,0.5527719503903769,e
0.417,1.607,0.382,1.679,2,0.5527719503903769,e
0.429,1.562,0.375,1.752,2,0.5527719503903769,e
0.448,1.533,0.405,1.621,2,0.5527719503903769,e
0.467,1.487,0.418,1.622,2,0.5527719503903769,e
0.47,1.455,0.41,1.637,2,0.5527719503903769,e
