acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,aug3_type,aug3_magnitude,portion,sample_no,mean_late_val_acc
0.137,2.272,0.162,2.208,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.219,2.106,0.248,1.959,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.289,1.961,0.234,2.043,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.324,1.86,0.335,1.791,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.363,1.745,0.336,1.867,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.403,1.654,0.294,1.964,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.436,1.548,0.409,1.727,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.48,1.443,0.35,1.989,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.531,1.344,0.443,1.687,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.539,1.288,0.407,1.672,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.59,1.181,0.489,1.512,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.616,1.099,0.503,1.479,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.639,1.009,0.358,2.297,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.68,0.935,0.427,2.036,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.698,0.838,0.43,1.912,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.723,0.793,0.459,2.128,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.758,0.737,0.488,1.697,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.768,0.643,0.425,2.236,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.796,0.579,0.459,2.098,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.818,0.538,0.51,1.813,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.829,0.507,0.511,1.987,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.832,0.448,0.516,2.034,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.857,0.407,0.467,2.499,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.866,0.386,0.533,2.22,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
0.878,0.354,0.479,2.196,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.36
