acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,aug3_type,aug3_magnitude,portion,sample_no,mean_late_val_acc
0.106,2.304,0.107,2.298,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.106,2.298,0.124,2.295,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.123,2.293,0.132,2.29,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.124,2.283,0.146,2.275,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.153,2.269,0.181,2.251,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.164,2.26,0.233,2.228,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.187,2.242,0.243,2.185,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.186,2.226,0.262,2.161,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.2,2.209,0.275,2.136,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.221,2.195,0.277,2.102,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.221,2.164,0.259,2.115,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.229,2.152,0.292,2.063,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.223,2.135,0.304,2.051,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.245,2.12,0.321,2.034,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.242,2.093,0.309,1.997,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.263,2.084,0.346,1.965,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.264,2.054,0.348,1.934,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.269,2.047,0.313,1.945,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.281,2.027,0.311,1.925,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.292,2.002,0.36,1.906,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.29,1.984,0.335,1.901,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.296,1.971,0.362,1.866,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.306,1.945,0.352,1.853,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.295,1.939,0.361,1.835,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.322,1.905,0.379,1.824,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.315,1.901,0.377,1.821,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.333,1.884,0.386,1.812,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.333,1.86,0.387,1.765,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.328,1.846,0.392,1.758,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.345,1.815,0.383,1.766,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
0.357,1.817,0.389,1.73,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.402
