acc,loss,val_acc,val_loss,trial_no,aug_type,magnitude,sample_no,mean_late_val_acc
0.114,2.3006098861694335,0.092,2.298125556945801,0,-,-,1,
0.131,2.287914758682251,0.126,2.2883093910217287,0,-,-,1,
0.162,2.269498264312744,0.187,2.2655001220703124,0,-,-,1,
0.182,2.236110984802246,0.197,2.2221814041137695,0,-,-,1,
0.209,2.177492679595947,0.219,2.1381661834716796,0,-,-,1,
0.232,2.1064113883972166,0.277,2.052048228263855,0,-,-,1,
0.259,2.0183134002685548,0.272,2.024831915855408,0,-,-,1,
0.289,1.9777300157546998,0.311,1.9309464130401612,0,-,-,1,
0.294,1.933335163116455,0.257,2.0036443185806276,0,-,-,1,
0.296,1.9100883350372315,0.283,1.9429592514038085,0,-,-,1,
0.309,1.876709602355957,0.321,1.8916370706558228,0,-,-,1,
0.33,1.8580387659072877,0.26,2.0591127319335936,0,-,-,1,
0.331,1.835341962814331,0.322,1.877988473892212,0,-,-,1,
0.339,1.8100349731445313,0.332,1.841143190383911,0,-,-,1,
0.334,1.799927903175354,0.33,1.8527580728530884,0,-,-,1,
0.359,1.7641989526748658,0.352,1.8026993503570556,0,-,-,1,
0.35,1.7488762226104737,0.344,1.7906984958648682,0,-,-,1,
0.343,1.7459038496017456,0.366,1.7828944549560546,0,-,-,1,
0.372,1.737315393447876,0.339,1.8090971927642823,0,-,-,1,
0.383,1.7157696895599366,0.346,1.7821760320663451,0,-,-,1,
0.335,1.8368752250671387,0.361,1.7901771202087402,1,5,0.8442657485810175,1,0.38380000000000003
0.379,1.7627836685180664,0.371,1.7612656497955321,1,5,0.8442657485810175,1,0.38380000000000003
0.3945,1.7057223062515259,0.367,1.75141969871521,1,5,0.8442657485810175,1,0.38380000000000003
0.403,1.683782745361328,0.372,1.760725715637207,1,5,0.8442657485810175,1,0.38380000000000003
0.4035,1.6611040706634521,0.367,1.7283657207489014,1,5,0.8442657485810175,1,0.38380000000000003
0.405,1.64182643699646,0.353,1.7896924686431885,1,5,0.8442657485810175,1,0.38380000000000003
0.4345,1.612492151260376,0.361,1.7138970823287965,1,5,0.8442657485810175,1,0.38380000000000003
0.436,1.5861748943328857,0.36,1.7505167198181153,1,5,0.8442657485810175,1,0.38380000000000003
0.447,1.56442267036438,0.373,1.7037391014099121,1,5,0.8442657485810175,1,0.38380000000000003
0.4425,1.5287958602905274,0.375,1.7036917476654052,1,5,0.8442657485810175,1,0.38380000000000003
0.442,1.5196825847625732,0.372,1.7307314605712891,1,5,0.8442657485810175,1,0.38380000000000003
0.4685,1.514473183631897,0.378,1.7030230855941773,1,5,0.8442657485810175,1,0.38380000000000003
0.4705,1.4792910099029541,0.396,1.7071256303787232,1,5,0.8442657485810175,1,0.38380000000000003
0.4815,1.4560019416809082,0.379,1.734171340942383,1,5,0.8442657485810175,1,0.38380000000000003
0.5055,1.4107568321228028,0.381,1.6819444847106935,1,5,0.8442657485810175,1,0.38380000000000003
