INFO:root:run_bayesianopt ran with args: (), and kwargs: {'dataset_name': 'cifar10', 'model_name': 'basiccnn', 'num_classes': 10, 'val_set_size': 1000, 'train_set_size': 2000, 'opt_iterations': 10000, 'opt_samples': 3, 'opt_initial_points': 10, 'child_epochs': 50, 'child_first_train_epochs': 0, 'child_batch_size': 64, 'opt_last_n_epochs': 5}
INFO:root:1, 0.4977777781221602, ['dropout', 0.8442657485810175, 'invert', 0.8472517387841256, 'dropout', 0.38438170729269994, 0.29753460654447234]
INFO:root:2, 0.5121111109786562, ['crop', 0.27265629458011326, 'emboss', 0.8121687287754934, 'emboss', 0.39278479610082984, 0.8360787635373778]
INFO:root:3, 0.5037777779367234, ['translate-y', 0.6481718720511973, 'translate-y', 0.9571551589530466, 'rotate', 0.8700872583584366, 0.4736080452737106]
INFO:root:4, 0.514999999920527, ['brighten', 0.5204774795512049, 'coarse-dropout', 0.7206326547259169, 'dropout', 0.5373732294490108, 0.7586156243223574]
INFO:root:5, 0.4974444443914625, ['gaussian-blur', 0.47360041934665753, 'rotate', 0.7369181771289582, 'shear', 0.13521817340545209, 0.32414100779321414]
INFO:root:6, 0.5115555560059017, ['rotate', 0.2223213882515877, 'sharpen', 0.9025984755294049, 'emboss', 0.6130634578841325, 0.9023485831739845]
INFO:root:7, 0.4902222224076589, ['gaussian-blur', 0.969809067746749, 'coarse-dropout', 0.17090958513604518, 'translate-y', 0.7506861412184564, 0.6078306687154679]
INFO:root:8, 0.5431111111376021, ['translate-y', 0.03842542647273473, 'coarse-dropout', 0.9589492686245206, 'coarse-dropout', 0.635058873603564, 0.9952995676778879]
INFO:root:9, 0.5158888889948527, ['dropout', 0.4143685882263689, 'emboss', 0.6235101011318683, 'translate-y', 0.6747523222590208, 0.31720174206929613]
INFO:root:10, 0.5145555555820465, ['brighten', 0.9495710534507423, 'coarse-dropout', 0.013571635612109837, 'dropout', 0.6736596308357895, 0.971945002499666]
INFO:root:11, 0.47788888925976225, ['clouds', 0.9776738004448945, 'coarse-dropout', 0.9073158975081922, 'rotate', 0.9604004789595418, 0.6456251004236954]
INFO:root:12, 0.5029999999735091, ['emboss', 0.8418599786463493, 'coarse-dropout', 0.9850063732868652, 'brighten', 0.9930755730474891, 0.9032544341996483]
INFO:root:13, 0.491, ['emboss', 0.3313155042856482, 'coarse-dropout', 0.9156945664233191, 'rotate', 0.8813791403012546, 0.695310019225801]
INFO:root:14, 0.48988888880941606, ['shear', 0.16250874242227334, 'coarse-dropout', 0.7394282838067773, 'rotate', 0.974083898473273, 0.48373489704327965]
INFO:root:15, 0.48611111132303886, ['translate-y', 0.17139685662017715, 'coarse-dropout', 0.6671228525894546, 'rotate', 0.8797805510564113, 0.8832418563773831]
INFO:root:16, 0.5078888889948527, ['dropout', 0.05224875921083018, 'rotate', 0.879550677903247, 'rotate', 0.94095810869678, 0.9328630841019881]
INFO:root:17, 0.4960000002384186, ['additive-gaussian-noise', 0.9970035529518654, 'coarse-dropout', 0.9036913710868897, 'rotate', 0.7110045353001835, 0.27592193052630093]
INFO:root:18, 0.4588888885709974, ['gamma-contrast', 0.9272888484202358, 'coarse-dropout', 0.5536195676798296, 'translate-x', 0.9777733668783014, 0.9709394679524208]
INFO:root:19, 0.49944444444444436, ['coarse-dropout', 0.9187812914600599, 'clouds', 0.5705829532703972, 'invert', 0.9848242032591877, 0.9459573906383569]
INFO:root:20, 0.4872222222222222, ['rotate', 0.9618610658086082, 'clouds', 0.10409626534705954, 'rotate', 0.9951584994447749, 0.9607894598610306]
INFO:root:21, 0.4911111113760206, ['sharpen', 0.9718831650754147, 'coarse-dropout', 0.19652394912898735, 'clouds', 0.7595441098380746, 0.8646910616167225]
INFO:root:22, 0.4824444445768993, ['crop', 0.9896986204723425, 'coarse-dropout', 0.24818721712087838, 'clouds', 0.7081731768699319, 0.6333414735141735]
INFO:root:23, 0.5292222222752041, ['gamma-contrast', 0.9324873654150578, 'gaussian-blur', 0.556869368372915, 'translate-y', 0.8760422526071924, 0.9663914727923396]
INFO:root:24, 0.4891111108462016, ['sharpen', 0.9508355294013188, 'emboss', 0.5594998051848811, 'rotate', 0.9682151327083166, 0.9970549286599388]
INFO:root:25, 0.45855555574099227, ['crop', 0.9993056900773079, 'translate-y', 0.06839841248181512, 'sharpen', 0.9460841422780553, 0.9963326386893078]
INFO:root:26, 0.4605555557409923, ['translate-y', 0.9416902278582868, 'rotate', 0.08893256624170444, 'translate-y', 0.9704782232876464, 0.9794714196357898]
INFO:root:27, 0.49966666693157613, ['dropout', 0.3905215184197537, 'shear', 0.449203277784162, 'brighten', 0.9556522301336189, 0.9785682723479904]
INFO:root:28, 0.4553333334657882, ['gaussian-blur', 0.9799513588900924, 'crop', 0.3787248089518416, 'brighten', 0.9160907254372803, 0.9798576880805231]
INFO:root:29, 0.4615555561118656, ['invert', 0.9842935384071438, 'translate-y', 0.37439828242871115, 'shear', 0.7934428566825805, 0.9804389524829358]
INFO:root:30, 0.49055555558204655, ['invert', 0.9758411416925538, 'dropout', 0.3019095527213958, 'sharpen', 0.8168053796505498, 0.984423277141396]
INFO:root:31, 0.4694444448153178, ['coarse-dropout', 0.989726511056462, 'fog', 0.9636234069762023, 'brighten', 0.7237075058858633, 0.9996732286372944]
INFO:root:32, 0.49222222235467694, ['clouds', 0.9308300453978035, 'sharpen', 0.33818356643186737, 'emboss', 0.878410129579904, 0.9819018435686516]
