INFO:root:run_bayesianopt ran with args: (), and kwargs: {'dataset_name': 'cifar10', 'model_name': 'basicCNN', 'num_classes': 10, 'val_set_size': 1000, 'train_set_size': 2000, 'opt_iterations': 10000, 'opt_samples': 3, 'opt_initial_points': 10, 'child_epochs': 60, 'child_first_train_epochs': 0, 'child_batch_size': 32, 'opt_last_n_epochs': 5}
INFO:root:1, 0.518, ['dropout', 0.8442657485810175, 'invert', 0.8472517387841256, 0.6235636967859725]
INFO:root:2, 0.554111111111111, ['sharpen', 0.29753460654447234, 'crop', 0.27265629458011326, 0.47766511732135]
INFO:root:3, 0.558888888888889, ['brighten', 0.47997717237505744, 'sharpen', 0.8360787635373778, 0.33739616041726844]
INFO:root:4, 0.564888888888889, ['coarse-dropout', 0.368241539840548, 'clouds', 0.14035078041264518, 0.8700872583584366]
INFO:root:5, 0.5798888888888889, ['emboss', 0.8009107519796445, 'additive-gaussian-noise', 0.6788795301189604, 0.7206326547259169]
INFO:root:6, 0.5982222222222222, ['dropout', 0.5373732294490108, 'brighten', 0.10590760718779216, 0.47360041934665753]
INFO:root:7, 0.5506666666666666, ['rotate', 0.7369181771289582, 'shear', 0.13521817340545209, 0.32414100779321414]
INFO:root:8, 0.5578888888888889, ['rotate', 0.2223213882515877, 'sharpen', 0.9025984755294049, 0.4499499899112277]
INFO:root:9, 0.5706666666666667, ['dropout', 0.9023485831739845, 'gaussian-blur', 0.969809067746749, 0.6531400357979378]
INFO:root:10, 0.5595555555555556, ['rotate', 0.35815216696952507, 'brighten', 0.6078306687154679, 0.32504722900835253]
INFO:root:11, 0.5873333333333333, ['dropout', 0.8761436367008533, 'coarse-dropout', 0.9365758380213648, 0.5477490235553661]
INFO:root:12, 0.5351111111111111, ['shear', 0.799180094493699, 'translate-x', 0.8716134559825899, 0.6275253292054089]
INFO:root:13, 0.5684444444444443, ['additive-gaussian-noise', 0.8382255977370324, 'gaussian-blur', 0.8475112292054922, 0.5960855984169248]
INFO:root:14, 0.5738888888888889, ['dropout', 0.8423450401859909, 'additive-gaussian-noise', 0.8271966628288648, 0.6105980022552833]
INFO:root:15, 0.5763333333333334, ['clouds', 0.9324589287443081, 'coarse-dropout', 0.8521363314094061, 0.6186566166077171]
INFO:root:16, 0.5577777777777777, ['dropout', 0.652067683446872, 'translate-x', 0.8516530518195432, 0.9927501840066323]
INFO:root:17, 0.5501111111111112, ['coarse-dropout', 0.7891986403707616, 'translate-x', 0.926578058185024, 0.6352675067521931]
INFO:root:18, 0.8196666666666667, ['dropout', 0.7047236865868746, 'gamma-contrast', 0.9378263975589322, 0.6272974655759697]
INFO:root:19, 0.5375555555555556, ['rotate', 0.7021983684237197, 'translate-x', 0.9712516813857106, 0.6633527157267168]
INFO:root:20, 0.5398888888888889, ['translate-y', 0.7428400996533625, 'translate-x', 0.9572867823610204, 0.7453098584276774]
INFO:root:21, 0.54, ['coarse-dropout', 0.6657334706502088, 'translate-x', 0.994971816727199, 0.952760475072599]
INFO:root:22, 0.8233333333333334, ['dropout', 0.7460040602060618, 'gamma-contrast', 0.9978637623789192, 0.6789149065506654]
INFO:root:23, 0.5378888888888889, ['rotate', 0.07175947982780863, 'translate-x', 0.9908819019818933, 0.6297614505693849]
INFO:root:24, 0.5301111111111112, ['crop', 0.7648459406617819, 'translate-x', 0.9945575799304128, 0.8063150149917176]
INFO:root:25, 0.526, ['crop', 0.7285761225231937, 'translate-x', 0.9885031860593193, 0.7573872595408904]
INFO:root:26, 0.5223333333333333, ['emboss', 0.7317014484543792, 'translate-x', 0.9955462205618892, 0.7414207514838748]
INFO:root:27, 0.5445555555555555, ['dropout', 0.9474990903148196, 'translate-x', 0.961767577290571, 0.6394204865362342]
INFO:root:28, 0.5569999999999999, ['dropout', 0.986746529850639, 'translate-x', 0.970527231052238, 0.7354222607733893]
INFO:root:29, 0.5438888888888889, ['crop', 0.19451738581554817, 'translate-x', 0.9962117555772076, 0.840834868355151]
INFO:root:30, 0.5652222222222223, ['brighten', 0.3738912049761977, 'translate-x', 0.9954039639717345, 0.09063631811234409]
INFO:root:31, 0.5452222222222223, ['dropout', 0.05523654227786458, 'translate-x', 0.9551594586243025, 0.7229039805224888]
INFO:root:32, 0.5487777777777778, ['clouds', 0.6589386275015013, 'translate-x', 0.9962740016791728, 0.9142233629515598]
INFO:root:33, 0.5249999999999999, ['coarse-dropout', 0.7649343341064819, 'translate-x', 0.9994383342434403, 0.7553689381439281]
INFO:root:34, 0.5891111111111111, ['dropout', 0.6946128108577128, 'translate-x', 0.4459067605421243, 0.6944395825852232]
INFO:root:35, 0.5571111111111111, ['brighten', 0.8069242918542225, 'coarse-dropout', 0.9999099640046738, 0.8321388061044788]
INFO:root:36, 0.5472222222222223, ['coarse-dropout', 0.7449110522912897, 'translate-x', 0.9969705571706439, 0.5269681531805868]
INFO:root:37, 0.5555555555555556, ['coarse-dropout', 0.821747495551852, 'translate-x', 0.9976990182053016, 0.4020297803585018]
INFO:root:38, 0.5973333333333333, ['dropout', 0.8305546972205843, 'coarse-dropout', 0.9885361698974154, 0.8706467904415451]
INFO:root:39, 0.5496666666666667, ['crop', 0.7744649476670037, 'shear', 0.9991990452335573, 0.7465626745130481]
INFO:root:40, 0.5541111111111112, ['invert', 0.9460516940366559, 'translate-x', 0.9989865822981098, 0.7900892933485386]
INFO:root:41, 0.532888888888889, ['sharpen', 0.10895370680557495, 'translate-x', 0.9985624021339965, 0.7749066355889405]
