epoch,acc,loss,val_acc,val_loss
0,0.29005281690140844,2.3226332206579543,0.3308,2.021608011627197
1,0.4618077784891165,1.5933883616011517,0.5355,1.5620330816268921
2,0.5606794174135723,1.2466158274651795,0.6697,0.983954453754425
3,0.6358834827144686,1.0443010619446806,0.6944,0.8793048511505127
4,0.6736555697823303,0.9320518527842973,0.7281,0.7953869230270386
5,0.7034250960307298,0.847577486544962,0.7038,0.9109028992652893
6,0.7235515364916774,0.7912335789234172,0.8003,0.5976900560379028
7,0.7474391805377721,0.7244965006309954,0.8331,0.4998019618034363
8,0.7632242317541613,0.6803432251976639,0.8203,0.5716894043684005
9,0.7775488156209988,0.6391515577648422,0.8273,0.5122374846458435
10,0.7886723751600512,0.6018251835078803,0.8251,0.5339200727462768
11,0.8018966069142125,0.5654406443371816,0.8377,0.4909008704185486
12,0.8112596030729834,0.5381808286096313,0.8501,0.4910995743751526
13,0.8167013444302177,0.524256736383548,0.8307,0.5104204267501831
14,0.8335067221510883,0.47685391517897424,0.8534,0.44791915426254275
15,0.8358074583866837,0.47220566399424085,0.8227,0.6178082311630249
16,0.8434098911651728,0.44848781042802655,0.871,0.4307835960388184
17,0.8523727592829705,0.42566908005906434,0.8552,0.4631507293701172
18,0.8557338348271447,0.4127556021192926,0.8664,0.5077419541358947
19,0.8538132202304738,0.41270936454113255,0.8407,0.5900926416397094
20,0.8608354673495519,0.39825552156273747,0.8353,0.672557513141632
21,0.863496318822023,0.39359321269217434,0.8716,0.40828431367874146
22,0.8682778489116517,0.37664587488552975,0.8621,0.46497359323501586
23,0.8692381562099872,0.37008419198373976,0.8308,0.7329067240715027
24,0.8712387964148528,0.36579022471162176,0.8631,0.5228897497177124
25,0.8761603713188221,0.3582725131063795,0.8701,0.48053988127708436
26,0.8749599871959027,0.35729379466855266,0.8684,0.5123836750984192
27,0.8743798015364916,0.35715388043970825,0.871,0.49379007611274717
28,0.8802416773367477,0.34485598962167313,0.8699,0.5668101470947265
29,0.881682138284251,0.3371000905830065,0.8713,0.48572791962623596
30,0.8800816261203586,0.34097102303749544,0.8573,0.6156886806488037
31,0.8808018565941101,0.3385924557152368,0.8779,0.44097644834518435
32,0.883302656850192,0.33397067265725777,0.8477,0.58173631067276
33,0.8843429897567221,0.33059506870510486,0.8784,0.5324413691520691
34,0.8885643405889885,0.31456341037810537,0.8577,0.585205308675766
35,0.8887043854033291,0.3179454706351675,0.8761,0.4709718386411667
36,0.8911651728553137,0.30990001192929345,0.8771,0.5397216040611267
37,0.889864756722151,0.3148840956947982,0.8818,0.47032298164367675
38,0.8896246798975672,0.3134680671138014,0.8877,0.4145044607162476
39,0.8934459026888605,0.3002779591648521,0.8676,0.5192996300220489
40,0.8959867157490397,0.29852943879369737,0.8892,0.3946119671821594
41,0.894806338028169,0.2996776259782105,0.883,0.4308559532403946
42,0.897247119078105,0.29401740560215084,0.8949,0.4133290254831314
43,0.8972271126760564,0.29482610427468026,0.8757,0.5400557872772217
44,0.8988076184379001,0.29066418482780115,0.8768,0.48830100326538084
45,0.8995878681177977,0.28747586884491727,0.8853,0.46690993432998656
46,0.9005881882202305,0.2837557832504147,0.8818,0.44577732248306273
47,0.8986675736235595,0.2886573247582903,0.8741,0.58809757655859
48,0.9012083866837388,0.28257633374989627,0.8798,0.5454987139463424
