INFO:root:run_bayesianopt ran with args: (), and kwargs: {'dataset_name': 'cifar10', 'model_name': 'basicCNN', 'num_classes': 10, 'val_set_size': 1000, 'train_set_size': 1000, 'opt_iterations': 10000, 'opt_samples': 1, 'opt_initial_points': 10, 'child_epochs': 60, 'child_first_train_epochs': 0, 'child_batch_size': 32, 'opt_last_n_epochs': 5}
INFO:root:1, 0.44766666666666666, ['dropout', 0.8442657485810175, 'invert', 0.8472517387841256, 0.6235636967859725]
INFO:root:2, 0.39666666666666667, ['sharpen', 0.29753460654447234, 'crop', 0.27265629458011326, 0.47766511732135]
INFO:root:3, 0.4243333333333333, ['brighten', 0.47997717237505744, 'sharpen', 0.8360787635373778, 0.33739616041726844]
INFO:root:4, 0.44933333333333336, ['coarse-dropout', 0.368241539840548, 'clouds', 0.14035078041264518, 0.8700872583584366]
INFO:root:5, 0.40066666666666667, ['emboss', 0.8009107519796445, 'additive-gaussian-noise', 0.6788795301189604, 0.7206326547259169]
INFO:root:6, 0.40599999999999997, ['dropout', 0.5373732294490108, 'brighten', 0.10590760718779216, 0.47360041934665753]
INFO:root:7, 0.4463333333333333, ['rotate', 0.7369181771289582, 'shear', 0.13521817340545209, 0.32414100779321414]
INFO:root:8, 0.45566666666666666, ['rotate', 0.2223213882515877, 'sharpen', 0.9025984755294049, 0.4499499899112277]
INFO:root:9, 0.4423333333333333, ['dropout', 0.9023485831739845, 'gaussian-blur', 0.969809067746749, 0.6531400357979378]
INFO:root:10, 0.458, ['rotate', 0.35815216696952507, 'brighten', 0.6078306687154679, 0.32504722900835253]
INFO:root:11, 0.43133333333333335, ['gamma-contrast', 0.57589368410225, 'invert', 0.0021221181830548557, 0.5047265377508056]
INFO:root:12, 0.42366666666666664, ['translate-y', 0.34274866088131045, 'sharpen', 0.22154782369270315, 0.4799893455312054]
INFO:root:13, 0.40599999999999997, ['translate-y', 0.15949884449636834, 'shear', 0.29978902152980097, 0.4785697068327538]
INFO:root:14, 0.41766666666666663, ['emboss', 0.1530075809099836, 'additive-gaussian-noise', 0.2902876383523542, 0.4640450791176459]
INFO:root:15, 0.42933333333333334, ['brighten', 0.24612512789334856, 'brighten', 0.24873355208724907, 0.4278922436817698]
INFO:root:16, 0.4126666666666667, ['rotate', 0.17682467713259978, 'coarse-dropout', 0.2980796310569433, 0.4755299245806912]
INFO:root:17, 0.4206666666666667, ['coarse-dropout', 0.3060275624601346, 'rotate', 0.730199977418674, 0.4766893571451547]
INFO:root:18, 0.45799999999999996, ['rotate', 0.12791193396725167, 'brighten', 0.5462712374134597, 0.48197311499878936]
INFO:root:19, 0.45566666666666666, ['gamma-contrast', 0.23960004996857592, 'clouds', 0.5415729333942788, 0.4782558769248241]
INFO:root:20, 0.45366666666666666, ['translate-x', 0.2562034665940554, 'crop', 0.350848465411245, 0.4783784758011228]
INFO:root:21, 0.4183333333333333, ['rotate', 0.27732158110674837, 'translate-x', 0.29559840964968936, 0.47584178756826545]
INFO:root:22, 0.42566666666666664, ['translate-y', 0.03628625652161988, 'additive-gaussian-noise', 0.31787980195150084, 0.47898714216627714]
INFO:root:23, 0.4606666666666667, ['fog', 0.9011436732181237, 'clouds', 0.3211131352638977, 0.47805460615692574]
INFO:root:24, 0.4363333333333333, ['rotate', 0.683310624335304, 'coarse-dropout', 0.31058521906117625, 0.477384971423627]
INFO:root:25, 0.432, ['coarse-dropout', 0.2493346432784374, 'translate-y', 0.2704622585878735, 0.4783171126993563]
INFO:root:26, 0.44133333333333336, ['rotate', 0.2715635549372422, 'additive-gaussian-noise', 0.283593403551158, 0.32851630977117036]
INFO:root:27, 0.465, ['coarse-dropout', 0.004896277686750495, 'gamma-contrast', 0.3175568388876932, 0.47231998304669787]
INFO:root:28, 0.47433333333333333, ['gamma-contrast', 0.3426621719554757, 'invert', 0.3072356204539142, 0.4776999084949275]
INFO:root:29, 0.44733333333333336, ['translate-x', 0.9673720506947829, 'gaussian-blur', 0.2996454522811188, 0.46975652330972706]
INFO:root:30, 0.456, ['crop', 0.8282739539921821, 'translate-x', 0.2976782204888842, 0.4750243065336879]
INFO:root:31, 0.4403333333333333, ['translate-y', 0.2966868332709544, 'translate-x', 0.30205982443167406, 0.8937315836494175]
INFO:root:32, 0.40633333333333327, ['brighten', 0.013921875906478202, 'additive-gaussian-noise', 0.29891446265102134, 0.7453045337019718]
INFO:root:33, 0.4203333333333333, ['coarse-dropout', 0.16132339590749215, 'gaussian-blur', 0.29925081464226605, 0.7993306637861679]
INFO:root:34, 0.41766666666666663, ['clouds', 0.34649712137670413, 'sharpen', 0.2769212815560436, 0.4736375105382199]
INFO:root:35, 0.4803333333333333, ['gamma-contrast', 0.12506907164027573, 'invert', 0.2984362425097717, 0.5206209871780941]
INFO:root:36, 0.452, ['gamma-contrast', 0.3001470759832195, 'additive-gaussian-noise', 0.2813655107108444, 0.6613214248994342]
INFO:root:37, 0.46166666666666667, ['fog', 0.03725444503626319, 'invert', 0.28829459569065713, 0.9319855801910569]
INFO:root:38, 0.4083333333333334, ['dropout', 0.04114974040698716, 'coarse-dropout', 0.29552372675861854, 0.6915322961979238]
INFO:root:39, 0.45966666666666667, ['clouds', 0.0877726095637247, 'clouds', 0.29845713559371406, 0.6949088585898748]
INFO:root:40, 0.4166666666666667, ['shear', 0.013686251722964341, 'brighten', 0.28152764733446983, 0.5461695169146966]
INFO:root:41, 0.4466666666666667, ['brighten', 0.002996331079563653, 'coarse-dropout', 0.29421978146696975, 0.4840976172777226]
INFO:root:42, 0.455, ['translate-y', 0.5071651658336458, 'invert', 0.2787626662750093, 0.4724687811150239]
INFO:root:43, 0.46900000000000003, ['clouds', 0.05837477677533755, 'rotate', 0.2988678831455613, 0.8141778766679278]
INFO:root:44, 0.448, ['fog', 0.08104879827415036, 'additive-gaussian-noise', 0.2973679340746385, 0.9968648391231169]
INFO:root:45, 0.46366666666666667, ['gamma-contrast', 0.09368426612337911, 'gamma-contrast', 0.19536070608941475, 0.4758681746243002]
INFO:root:46, 0.4186666666666667, ['gaussian-blur', 0.09783513956583825, 'dropout', 0.26440270377414826, 0.4757973994725778]
INFO:root:47, 0.4096666666666667, ['brighten', 0.12280060847126043, 'additive-gaussian-noise', 0.6720052389726572, 0.719971171031145]
INFO:root:48, 0.4186666666666667, ['crop', 0.10490036999358335, 'additive-gaussian-noise', 0.3302363736240899, 0.7502504719211881]
