INFO:root:run_bayesianopt ran with args: (), and kwargs: {'dataset_name': 'cifar10', 'model_name': 'basiccnn', 'num_classes': 10, 'train_set_size': 1000, 'opt_iterations': 500, 'opt_samples': 3, 'opt_initial_points': 30, 'child_epochs': 60, 'child_first_train_epochs': 0, 'child_batch_size': 64, 'opt_last_n_epochs': 5}
INFO:root:1, 0.5824444446298811, ['coarse-dropout', 0.8442657485810175, 'fog', 0.8472517387841256, 0.6235636967859725]
INFO:root:2, 0.6722222222884497, ['sharpen', 0.29753460654447234, 'crop', 0.27265629458011326, 0.47766511732135]
INFO:root:3, 0.5992222222222221, ['invert', 0.47997717237505744, 'sharpen', 0.8360787635373778, 0.33739616041726844]
INFO:root:4, 0.607000000026491, ['gamma-contrast', 0.368241539840548, 'add-to-hue-and-saturation', 0.14035078041264518, 0.8700872583584366]
INFO:root:5, 0.6338888887564342, ['additive-gaussian-noise', 0.8009107519796445, 'additive-gaussian-noise', 0.6788795301189604, 0.7206326547259169]
INFO:root:6, 0.7570000000397364, ['dropout', 0.5373732294490108, 'brighten', 0.10590760718779216, 0.47360041934665753]
INFO:root:7, 0.6147777776188321, ['shear', 0.7369181771289582, 'shear', 0.13521817340545209, 0.32414100779321414]
INFO:root:8, 0.6121111112435658, ['rotate', 0.2223213882515877, 'sharpen', 0.9025984755294049, 0.4499499899112277]
INFO:root:9, 0.6183333336777157, ['coarse-dropout', 0.9023485831739845, 'gaussian-blur', 0.969809067746749, 0.6531400357979378]
INFO:root:10, 0.617111111137602, ['rotate', 0.35815216696952507, 'brighten', 0.6078306687154679, 0.32504722900835253]
INFO:root:11, 0.5483333333863152, ['crop', 0.6342740579573352, 'add-to-hue-and-saturation', 0.652790317005491, 0.635058873603564]
INFO:root:12, 0.5937777779367235, ['add-to-hue-and-saturation', 0.5818503294385344, 'emboss', 0.474697502288413, 0.6235101011318683]
INFO:root:13, 0.5556666667991215, ['translate-y', 0.6747523222590208, 'translate-y', 0.7783454820259093, 0.9495710534507423]
INFO:root:14, 0.5556666665342118, ['gamma-contrast', 0.013571635612109837, 'coarse-dropout', 0.6736596308357895, 0.971945002499666]
INFO:root:15, 0.5996666665871939, ['fog', 0.5096243767199002, 'crop', 0.4511592145209282, 0.01998766540875874]
INFO:root:16, 0.6164444444179535, ['emboss', 0.9795867288127287, 'sharpen', 0.48089353083616293, 0.6886611828057705]
INFO:root:17, 0.5997777778042688, ['fog', 0.9182354663621449, 'shear', 0.5651888666048754, 0.8651025613053852]
INFO:root:18, 0.5935555556085375, ['additive-gaussian-noise', 0.916722954019461, 'clouds', 0.0831124926306024, 0.2777185612810325]
INFO:root:19, 0.5953333332008786, ['crop', 0.8423420796677312, 'gamma-contrast', 0.8413861191973546, 0.2647301642834497]
INFO:root:20, 0.6060000002119277, ['sharpen', 0.5528214798875716, 'rotate', 0.3698080927483401, 0.14644176272911227]
INFO:root:21, 0.6334444445239173, ['dropout', 0.7037372792899164, 'translate-x', 0.43328806198204417, 0.7561066938650411]
INFO:root:22, 0.6701111109786564, ['sharpen', 0.8960383875090773, 'coarse-dropout', 0.8915544372256773, 0.6800555694634124]
INFO:root:23, 0.6804444446298812, ['emboss', 0.9785709284207172, 'gaussian-blur', 0.767023703558727, 0.4118201389648448]
INFO:root:24, 0.5405555557409922, ['gamma-contrast', 0.24979627565497814, 'translate-y', 0.9654162205199273, 0.5884650850687495]
INFO:root:25, 0.6346666667196486, ['gamma-contrast', 0.5332062539166483, 'shear', 0.39486929345022925, 0.6188085645913572]
INFO:root:26, 0.6312222224871318, ['additive-gaussian-noise', 0.4701321892557653, 'brighten', 0.28799100436328057, 0.383462225034948]
INFO:root:27, 0.6382222223281859, ['brighten', 0.8784521902760423, 'gaussian-blur', 0.09237388946089821, 0.35404666208381025]
INFO:root:28, 0.6278888888623979, ['dropout', 0.03362509349883203, 'add-to-hue-and-saturation', 0.32099724137349755, 0.22126268518378284]
INFO:root:29, 0.5996666663222843, ['rotate', 0.0972599270631739, 'add-to-hue-and-saturation', 0.26034092758740474, 0.5370225213757798]
INFO:root:30, 0.6035555557145014, ['emboss', 0.09956908911081111, 'translate-y', 0.46924917399024224, 0.8411401297855997]
INFO:root:31, 0.5887777778307597, ['dropout', 0.17516792004717288, 'rotate', 0.8013526707644438, 0.9171870216504168]
INFO:root:32, 0.6835555553436279, ['dropout', 0.13682904971147805, 'sharpen', 0.7858603459147002, 0.9245332911090508]
INFO:root:33, 0.5922222223281861, ['dropout', 0.628019290730741, 'translate-y', 0.7809833619924414, 0.8873911335272112]
INFO:root:34, 0.5686666668256124, ['dropout', 0.009130658267244575, 'translate-y', 0.9953177866889826, 0.9980393036017017]
INFO:root:35, 0.5654444443914626, ['add-to-hue-and-saturation', 0.05922573419593559, 'translate-y', 0.11763180284662281, 0.9722535931342641]
INFO:root:36, 0.6287777779102326, ['crop', 0.35503345737171504, 'translate-y', 0.016497871299867576, 0.9963162136504838]
INFO:root:37, 0.5765555555025736, ['dropout', 0.17006881371238905, 'translate-y', 0.6824361495349884, 0.9400535826915971]
INFO:root:38, 0.5257777781221602, ['gamma-contrast', 0.0024468811620569357, 'brighten', 0.727324530775849, 0.9677526571973055]
INFO:root:39, 0.5872222223016952, ['sharpen', 0.017651185864278055, 'add-to-hue-and-saturation', 0.08691454525380839, 0.9651700305026721]
INFO:root:40, 0.5775555555820466, ['dropout', 0.002164306512539627, 'shear', 0.7283430056989062, 0.9668304893457494]
INFO:root:41, 0.6308888887564341, ['dropout', 0.20983707915984878, 'additive-gaussian-noise', 0.7821980759452222, 0.9821126123670343]
INFO:root:42, 0.6343333333863153, ['invert', 0.011621127110346243, 'brighten', 0.005282569043131403, 0.964836768070899]
INFO:root:43, 0.5946666668256124, ['gamma-contrast', 0.2102329444120266, 'brighten', 0.8115941728020953, 0.9482592367251446]
INFO:root:44, 0.5699999998940362, ['crop', 0.011539897516999355, 'translate-y', 0.7648683631518481, 0.4952165403429233]
INFO:root:45, 0.573222222354677, ['brighten', 0.0028893670577808677, 'brighten', 0.9520444319057562, 0.984396383534179]
INFO:root:46, 0.5711111112965479, ['clouds', 0.00812794871496625, 'coarse-dropout', 0.009448617196363142, 0.9677252532609784]
INFO:root:47, 0.5766666667196485, ['fog', 0.0033963941253154504, 'translate-x', 0.7869150006725825, 0.482757532188298]
INFO:root:48, 0.5597777779632145, ['invert', 0.00946126149104798, 'translate-y', 0.6610056732548479, 0.4465021972871762]
INFO:root:49, 0.6104444443914625, ['coarse-dropout', 0.0049671479816151285, 'brighten', 0.09023515686399954, 0.4515287650718146]
INFO:root:50, 0.6669999999205272, ['translate-y', 0.003567241531030719, 'brighten', 0.18752337712686978, 0.9881922024020775]
INFO:root:51, 0.6615555555290646, ['emboss', 0.006733542453473353, 'brighten', 0.6989474947873223, 0.7505327474347749]
INFO:root:52, 0.6180000000264909, ['dropout', 0.30172129850451096, 'translate-y', 0.7032825894451108, 0.5197672682619989]
INFO:root:53, 0.6363333333598242, ['dropout', 0.0032588981712229357, 'dropout', 0.08494985055654493, 0.9598096129838848]
INFO:root:54, 0.6558888888226615, ['dropout', 0.024788701945039134, 'clouds', 0.7332791901400241, 0.9863870356715178]
INFO:root:55, 0.6684444444444444, ['brighten', 0.0005003319947751718, 'additive-gaussian-noise', 0.7060774277703598, 0.9964798857301177]
INFO:root:56, 0.5390000002119277, ['gamma-contrast', 0.08370983330860472, 'translate-y', 0.9460312110194812, 0.48013206264269237]
INFO:root:57, 0.5371111113760207, ['gamma-contrast', 0.0134146804857499, 'rotate', 0.7436618944990183, 0.43046512773981094]
INFO:root:58, 0.5804444447888268, ['gamma-contrast', 0.043453177164989205, 'invert', 0.6909095908790482, 0.7166709695066297]
INFO:root:59, 0.5251111108726925, ['gamma-contrast', 0.05657012472524005, 'brighten', 0.8605743539168875, 0.5345623042779953]
INFO:root:60, 0.5352222222222223, ['gamma-contrast', 0.026499482530730208, 'additive-gaussian-noise', 0.7091458163458326, 0.4984802055040999]
INFO:root:61, 0.6101111113760207, ['gamma-contrast', 0.026563352716643458, 'brighten', 0.04790893862069813, 0.05192076668844693]
INFO:root:62, 0.5881111111773385, ['gamma-contrast', 0.95906707137827, 'gaussian-blur', 0.7692141359882342, 0.4722803059765621]
INFO:root:63, 0.5202222223811679, ['gamma-contrast', 0.06509592674788801, 'crop', 0.8630205406048138, 0.9177724552125904]
