INFO:root:run_bayesianopt ran with args: (), and kwargs: {'dataset_name': 'cifar10', 'model_name': 'basiccnn', 'num_classes': 10, 'train_set_size': 2000, 'opt_iterations': 10000, 'opt_samples': 3, 'opt_initial_points': 20, 'child_epochs': 50, 'child_first_train_epochs': 0, 'child_batch_size': 64, 'opt_last_n_epochs': 5}
INFO:root:1, 0.45555555523766406, ['dropout', 0.8442657485810175, 'invert', 0.8472517387841256, 'dropout', 0.38438170729269994, 0.29753460654447234]
INFO:root:2, 0.46355555558204653, ['crop', 0.27265629458011326, 'emboss', 0.8121687287754934, 'emboss', 0.39278479610082984, 0.8360787635373778]
INFO:root:3, 0.448888888531261, ['translate-y', 0.6481718720511973, 'translate-y', 0.9571551589530466, 'rotate', 0.8700872583584366, 0.4736080452737106]
INFO:root:4, 0.44166666626930234, ['brighten', 0.5204774795512049, 'coarse-dropout', 0.7206326547259169, 'dropout', 0.5373732294490108, 0.7586156243223574]
INFO:root:5, 0.44588888880941596, ['gaussian-blur', 0.47360041934665753, 'rotate', 0.7369181771289582, 'shear', 0.13521817340545209, 0.32414100779321414]
INFO:root:6, 0.44699999989403616, ['rotate', 0.2223213882515877, 'sharpen', 0.9025984755294049, 'emboss', 0.6130634578841325, 0.9023485831739845]
INFO:root:7, 0.4886666669050852, ['gaussian-blur', 0.969809067746749, 'coarse-dropout', 0.17090958513604518, 'translate-y', 0.7506861412184564, 0.6078306687154679]
INFO:root:8, 0.3864444442590078, ['translate-y', 0.03842542647273473, 'coarse-dropout', 0.9589492686245206, 'coarse-dropout', 0.635058873603564, 0.9952995676778879]
INFO:root:9, 0.4165555553966098, ['dropout', 0.4143685882263689, 'emboss', 0.6235101011318683, 'translate-y', 0.6747523222590208, 0.31720174206929613]
INFO:root:10, 0.4332222221692403, ['brighten', 0.9495710534507423, 'coarse-dropout', 0.013571635612109837, 'dropout', 0.6736596308357895, 0.971945002499666]
INFO:root:11, 0.5208888888888888, ['fog', 0.5096243767199002, 'crop', 0.4511592145209282, 'crop', 0.4417109212488455, 0.9795867288127287]
INFO:root:12, 0.5284444444974263, ['translate-y', 0.48089353083616293, 'gamma-contrast', 0.8804758892525957, 'fog', 0.21682213762754293, 0.5651888666048754]
INFO:root:13, 0.40799999978807233, ['invert', 0.5089689606670146, 'fog', 0.9211576102372, 'gaussian-blur', 0.2777185612810325, 0.009356704856532618]
INFO:root:14, 0.4193333333333334, ['invert', 0.6471741401875556, 'invert', 0.2647301642834497, 'sharpen', 0.5528214798875716, 0.16494046024188416]
INFO:root:15, 0.46877777796321435, ['translate-y', 0.14644176272911227, 'dropout', 0.7037372792899164, 'translate-x', 0.43328806198204417, 0.7561066938650411]
INFO:root:16, 0.46022222211625835, ['sharpen', 0.8960383875090773, 'coarse-dropout', 0.8915544372256773, 'coarse-dropout', 0.44919773821837217, 0.9785709284207172]
INFO:root:17, 0.4913333334657881, ['gaussian-blur', 0.767023703558727, 'sharpen', 0.6754390812002361, 'shear', 0.313218331945951, 0.9654162205199273]
INFO:root:18, 0.3491111109919018, ['dropout', 0.659668412069413, 'additive-gaussian-noise', 0.23053302350632993, 'sharpen', 0.6188085645913572, 0.4748675154089421]
INFO:root:19, 0.4415555552111732, ['emboss', 0.7160745312286433, 'translate-x', 0.383462225034948, 'gamma-contrast', 0.8784521902760423, 0.10286335869343824]
