acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,aug3_type,aug3_magnitude,portion,sample_no,mean_late_val_acc,epoch
0.115,2.295,0.096,2.357,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,1
0.166,2.24,0.255,2.117,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,2
0.209,2.143,0.297,1.957,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,3
0.268,2.054,0.332,1.895,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,4
0.28,1.982,0.317,1.887,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,5
0.308,1.913,0.29,1.87,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,6
0.316,1.882,0.299,1.928,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,7
0.337,1.825,0.341,1.839,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,8
0.353,1.782,0.349,1.847,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,9
0.371,1.775,0.363,1.806,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,10
0.376,1.723,0.379,1.724,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,11
0.397,1.686,0.411,1.61,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,12
0.393,1.667,0.417,1.654,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,13
0.395,1.655,0.397,1.767,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,14
0.428,1.609,0.387,1.752,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,15
0.426,1.58,0.383,1.757,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,16
0.447,1.544,0.449,1.568,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,17
0.45,1.547,0.416,1.631,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,18
0.473,1.507,0.449,1.591,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,19
0.466,1.491,0.459,1.527,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,20
0.485,1.445,0.421,1.672,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,21
0.499,1.41,0.446,1.627,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,22
0.505,1.398,0.466,1.548,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,23
0.507,1.366,0.406,1.712,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,24
0.517,1.355,0.44,1.578,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,25
0.543,1.323,0.447,1.588,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,26
0.532,1.313,0.483,1.484,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,27
0.544,1.29,0.518,1.437,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,28
0.559,1.267,0.482,1.511,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,29
0.576,1.221,0.499,1.458,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,30
0.569,1.203,0.503,1.508,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,31
0.576,1.205,0.481,1.555,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,32
0.59,1.146,0.481,1.59,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,33
0.598,1.157,0.5,1.475,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,34
0.606,1.12,0.478,1.572,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,35
0.613,1.109,0.525,1.442,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,36
0.634,1.072,0.522,1.47,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,37
0.627,1.065,0.5,1.517,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,38
0.634,1.031,0.513,1.491,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,39
0.645,1.022,0.501,1.514,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,40
0.652,1.004,0.516,1.491,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,41
0.657,0.963,0.509,1.562,1,dropout,0.844,invert,0.847,dropout,0.384,0.298,1,0.489,42
