acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,portion,sample_no,mean_late_val_acc,epoch
0.139,2.27,0.208,2.15,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,1
0.218,2.114,0.234,2.053,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,2
0.265,1.988,0.311,1.886,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,3
0.316,1.869,0.341,1.76,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,4
0.34,1.787,0.425,1.677,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,5
0.369,1.734,0.37,1.676,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,6
0.4,1.681,0.416,1.582,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,7
0.418,1.607,0.419,1.638,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,8
0.434,1.565,0.475,1.479,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,9
0.445,1.517,0.449,1.582,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,10
0.473,1.453,0.489,1.457,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,11
0.5,1.406,0.47,1.451,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,12
0.5,1.364,0.48,1.46,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,13
0.529,1.334,0.465,1.528,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,14
0.531,1.287,0.47,1.504,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,15
0.546,1.279,0.523,1.443,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,16
0.571,1.217,0.516,1.364,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,17
0.581,1.192,0.517,1.421,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,18
0.589,1.153,0.519,1.413,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,19
0.603,1.124,0.497,1.481,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,20
0.615,1.085,0.513,1.46,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,21
0.638,1.026,0.491,1.536,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,22
0.635,1.024,0.535,1.301,1,gamma-contrast,0.844,perspective-transform,0.847,0.624,1,0.497,23
